Gas Pipeline Name,Holding Company Name,Point Name,Primary Point Type,Flow Point Name,Flow Point Number,Flow Point Interconnecting Entity Name,Flow Point Interconnecting Entity Type,Flow Date,End of Day,Flow Cycle,Flow Direction,Sum Operating Capacity Dth,Sum Scheduled Quantity Dth,Sum Operationally Available Quantity Dth,Capacity Utilization %,Gas Pipeline ID,Holding Company ID,Point ID,Flow Point Interconnecting Entity ID
Columbia Gulf Transmission Co,TC Energy Corp,ShelSEG,SEGMENT,ShelSEG,83583,Columbia Gulf Transmission Co,Company,6/26/2023 0:00,Yes,Intraday 1,Backhaul,2614506,2368395,246111,90.59,60367,582831,2677633,60367
Columbia Gulf Transmission Co,TC Energy Corp,ShelSEG,SEGMENT,ShelSEG,83583,Columbia Gulf Transmission Co,Company,6/26/2023 0:00,Yes,Intraday 1,Segment,2218000,218971,1999029,9.87,60367,582831,2677633,60367
Columbia Gulf Transmission Co,TC Energy Corp,ShelSEG,SEGMENT,ShelSEG,83583,Columbia Gulf Transmission Co,Company,6/25/2023 0:00,Yes,Intraday 3,Backhaul,2614506,2364574,249932,90.44,60367,582831,2677633,60367
Columbia Gulf Transmission Co,TC Energy Corp,ShelSEG,SEGMENT,ShelSEG,83583,Columbia Gulf Transmission Co,Company,6/25/2023 0:00,Yes,Intraday 3,Segment,2218000,216817,2001183,9.78,60367,582831,2677633,60367
Columbia Gulf Transmission Co,TC Energy Corp,ShelSEG,SEGMENT,ShelSEG,83583,Columbia Gulf Transmission Co,Company,6/24/2023 0:00,Yes,Intraday 3,Backhaul,2614506,2357463,257043,90.17,60367,582831,2677633,60367
Columbia Gulf Transmission Co,TC Energy Corp,ShelSEG,SEGMENT,ShelSEG,83583,Columbia Gulf Transmission Co,Company,6/24/2023 0:00,Yes,Intraday 3,Segment,2218000,200626,2017374,9.05,60367,582831,2677633,60367
Columbia Gulf Transmission Co,TC Energy Corp,ShelSEG,SEGMENT,ShelSEG,83583,Columbia Gulf Transmission Co,Company,6/23/2023 0:00,Yes,Intraday 3,Backhaul,2614506,2343810,270696,89.65,60367,582831,2677633,60367
Columbia Gulf Transmission Co,TC Energy Corp,ShelSEG,SEGMENT,ShelSEG,83583,Columbia Gulf Transmission Co,Company,6/23/2023 0:00,Yes,Intraday 3,Segment,2218000,259507,1958493,11.7,60367,582831,2677633,60367
Columbia Gulf Transmission Co,TC Energy Corp,ShelSEG,SEGMENT,ShelSEG,83583,Columbia Gulf Transmission Co,Company,6/22/2023 0:00,Yes,Intraday 3,Backhaul,2614506,2242824,371682,85.78,60367,582831,2677633,60367
Columbia Gulf Transmission Co,TC Energy Corp,ShelSEG,SEGMENT,ShelSEG,83583,Columbia Gulf Transmission Co,Company,6/22/2023 0:00,Yes,Intraday 3,Segment,2218000,304503,1913497,13.73,60367,582831,2677633,60367
