Gas Pipeline Name,Holding Company Name,Point Name,Primary Point Type,Flow Point Name,Flow Point Number,Flow Point Interconnecting Entity Name,Flow Point Interconnecting Entity Type,Flow Date,End of Day,Flow Cycle,Flow Direction,Sum Operating Capacity Dth,Sum Scheduled Quantity Dth,Sum Operationally Available Quantity Dth,Capacity Utilization %,Gas Pipeline ID,Holding Company ID,Point ID,Flow Point Interconnecting Entity ID
TransCameron Pipeline LLC,Venture Global LNG LLC,ANR/TCPL Mermentau River,INTERCONNECT,ANR/TCPL Mermentau River,83961,ANR Pipeline Co,Company,8/8/2023 00:00,Yes,Intraday 1,Receipt,1100000,517658,582342,47.06,2195935,2198215,2773839,60362
TransCameron Pipeline LLC,Venture Global LNG LLC,ANR/TCPL Mermentau River,INTERCONNECT,ANR/TCPL Mermentau River,83961,ANR Pipeline Co,Company,8/7/2023 00:00,Yes,Intraday 3,Receipt,1100000,551474,548526,50.13,2195935,2198215,2773839,60362
TransCameron Pipeline LLC,Venture Global LNG LLC,ANR/TCPL Mermentau River,INTERCONNECT,ANR/TCPL Mermentau River,83961,ANR Pipeline Co,Company,8/6/2023 00:00,Yes,Intraday 3,Receipt,1100000,501474,598526,45.59,2195935,2198215,2773839,60362
TransCameron Pipeline LLC,Venture Global LNG LLC,ANR/TCPL Mermentau River,INTERCONNECT,ANR/TCPL Mermentau River,83961,ANR Pipeline Co,Company,8/5/2023 00:00,Yes,Intraday 3,Receipt,1100000,551474,548526,50.13,2195935,2198215,2773839,60362
TransCameron Pipeline LLC,Venture Global LNG LLC,ANR/TCPL Mermentau River,INTERCONNECT,ANR/TCPL Mermentau River,83961,ANR Pipeline Co,Company,8/4/2023 00:00,Yes,Intraday 3,Receipt,1100000,564139,535861,51.29,2195935,2198215,2773839,60362
TransCameron Pipeline LLC,Venture Global LNG LLC,ANR/TCPL Mermentau River,INTERCONNECT,ANR/TCPL Mermentau River,83961,ANR Pipeline Co,Company,8/3/2023 00:00,Yes,Intraday 3,Receipt,1100000,547995,552005,49.82,2195935,2198215,2773839,60362
TransCameron Pipeline LLC,Venture Global LNG LLC,ANR/TCPL Mermentau River,INTERCONNECT,ANR/TCPL Mermentau River,83961,ANR Pipeline Co,Company,8/2/2023 00:00,Yes,Intraday 3,Receipt,1100000,550977,549023,50.09,2195935,2198215,2773839,60362
TransCameron Pipeline LLC,Venture Global LNG LLC,ANR/TCPL Mermentau River,INTERCONNECT,ANR/TCPL Mermentau River,83961,ANR Pipeline Co,Company,8/1/2023 00:00,Yes,Intraday 3,Receipt,1100000,548085,551915,49.83,2195935,2198215,2773839,60362
TransCameron Pipeline LLC,Venture Global LNG LLC,ANR/TCPL Mermentau River,INTERCONNECT,ANR/TCPL Mermentau River,83961,ANR Pipeline Co,Company,7/31/2023 00:00,Yes,Intraday 3,Receipt,1100000,914318,185682,83.12,2195935,2198215,2773839,60362
TransCameron Pipeline LLC,Venture Global LNG LLC,ANR/TCPL Mermentau River,INTERCONNECT,ANR/TCPL Mermentau River,83961,ANR Pipeline Co,Company,7/30/2023 00:00,Yes,Intraday 3,Receipt,1100000,914318,185682,83.12,2195935,2198215,2773839,60362
