Gas_x0020_Pipeline_x0020_Name,Flow_x0020_Point_x0020_Name,Flow_x0020_Point_x0020_Interconnecting_x0020_Entity_x0020_Name,,,
TransCameron Pipeline LLC,ANR/TCPL Mermentau River,,,,
TransCameron Pipeline LLC,BRL/TCPL Mermentau River,,,,
TransCameron Pipeline LLC,System Balancing,,,,
TransCameron Pipeline LLC,TETCO Receipt Point,,,,
TransCameron Pipeline LLC,Venture Global Calcasieu Pass Delivery,,,,
Columbia Gulf Transmission Co,ShelSEG,,,,
Transcontinental Gas Pipe Line Corp,Compressor Station 60 MP 588.62,,,,
Transcontinental Gas Pipe Line Corp,Mainline MP 626.5 S to N NL,,,,
Transcontinental Gas Pipe Line Corp,Mainline MP 626.59,,,,
Texas Gas Transmission LLC,Bastrop,,,,
Texas Gas Transmission LLC,Greenville - Isola,,,,
Texas Gas Transmission LLC,Greenville Throughput,,,,
ANR Pipeline Co,Eunice Northbound,,,,
Texas Eastern Transmission LP,Providence Compressor - TETCO,,,,
Texas Eastern Transmission LP,St Francisville Compressor,,,,
Midcontinent Express Pipeline LLC,Vicksburg to Transco,,,,
Southern Natural Gas Co,Onward To Pickens,,,,
Southern Natural Gas Co,Sng-Sesh,,,,
Southern Natural Gas Co,Zone 0/1 Boundary To Sesh,,,,
Southeast Supply Header LLC,Delhi,,,,
Natural Gas Pipeline Co of America,Enbrid/Ngpl Marion,,,,
Natural Gas Pipeline Co of America,Enbrid/Ngpl Panola,,,,
Natural Gas Pipeline Co of America,ETC Tx / NGPL Nacogdoches,,,,
Natural Gas Pipeline Co of America,ETP / NGPL Beckville Panola,,,,
Natural Gas Pipeline Co of America,HPL / NGPL Panola,,,,
Natural Gas Pipeline Co of America,Markwest Ngpl Panola,,,,
Natural Gas Pipeline Co of America,NGPL / MEP Atlanta Cass - NGPL,,,,
Natural Gas Pipeline Co of America,TGG / NGPL Nacogdoches,,,,
Natural Gas Pipeline Co of America,TPF/NGPL East Texas Gathering Nacogdoches,,,,
Tennessee Gas Pipeline Co,MLV 834 to MLV 847,,,,
Tennessee Gas Pipeline Co,STA 63 TO STA 87,,,,
Florida Gas Transmission Co,CS #9 Franklinton,,,,
Gulf South Pipeline Co LP,Expansion Area 19 Delivery,,,,
Gulf South Pipeline Co LP,Misc Area 01 130 Aggregate - Entex,,,,
Gulf South Pipeline Co LP,Montpelier To McComb Index 130,,,,
Trunkline Gas Co LLC,Mainline Shaw,,,,
Midcontinent Express Pipeline LLC,HPL/MEP Lamar,,,,
Midcontinent Express Pipeline LLC,NGPL/MEP Lamar,,,,
Gulf Run Transmission LLC,Eastrans DCP Carthage GR,,,,
Gulf Run Transmission LLC,EGT Monument,,,,
Gulf Run Transmission LLC,Enterprise Bulldog,,,,
Gulf Run Transmission LLC,Gemini Panola GR,,,,
Gulf Run Transmission LLC,Markwest East TX GR,,,,
Gulf Run Transmission LLC,Marlin Midstream GR,,,,
Gulf Run Transmission LLC,Rockcliff D CRP GR,,,,
Gulf Run Transmission LLC,Rockcliff Z CRP GR,,,,
Florida Gas Transmission Co,CS #6 Vidor,,,,
Gulf Crossing Pipeline Co LLC,Paris (to Atmos N TX),,,,
Gulf Crossing Pipeline Co LLC,Sherman (from Enterprise TX),,,,
Gulf Crossing Pipeline Co LLC,Sherman From Enterprise,,,,
Gulf South Pipeline Co LP,Align Midstream Angelina County Cp,,,,
Gulf South Pipeline Co LP,DCP East Texas Net Receipt,,,,
Gulf South Pipeline Co LP,DCP East Texas Plant (Legacy Area 8),,,,
Gulf South Pipeline Co LP,DCP East Texas Plant (to expansion 16),,,,
Gulf South Pipeline Co LP,Enbridge - Carthage (Expansion),,,,
Gulf South Pipeline Co LP,Energy Transfer - Carthage,,,,
Gulf South Pipeline Co LP,Enterprise - Carthage (Expansion),,,,
Gulf South Pipeline Co LP,Gemini Panola County TX (expansion),,,,
Gulf South Pipeline Co LP,Loc 24446 Gemini Panola Cty,,,,
Gulf South Pipeline Co LP,Markwest Carthage (Expansion),,,,
Gulf South Pipeline Co LP,Marlin Plant DEL - Carthage Junction,,,,
Gulf South Pipeline Co LP,Marlin Plant REC - Carthage (Expansion),,,,
Gulf South Pipeline Co LP,Rockcliff Deadwood Cp (Expansion),,,,
Tennessee Gas Pipeline Co,STA 32 to MLV 40,,,,
Natural Gas Pipeline Co of America,East of Station 302 Montgomery,,,,
Texas Eastern Transmission LP,Vidor Compressor,,,,
Texas Eastern Transmission LP,Vidor East,,,,
Transcontinental Gas Pipe Line Corp,Mainline MP 438.84 S to N NL,,,,
Trunkline Gas Co LLC,Ntx to Longville,,,,
Enable Gas Transmission LLC,A&A Coatings Acct,,,,
Enable Gas Transmission LLC,Amoco Blocker To F-185,,,,
Enable Gas Transmission LLC,Brandy Branch To F185,,,,
Enable Gas Transmission LLC,Carthage Field Ic,,,,
Enable Gas Transmission LLC,CEFS Dasto Line CP-3,,,,
Enable Gas Transmission LLC,CEFS Waskom Plant St,,,,
Enable Gas Transmission LLC,CERC E TX DA 501 Rec Displacement,,,,
Enable Gas Transmission LLC,CERC TX DA 1 Rec Displacement,,,,
Enable Gas Transmission LLC,Champlin Plt Summary,,,,
Enable Gas Transmission LLC,Cp Delivery To Waskom,,,,
Enable Gas Transmission LLC,Cullen Heirs Ctp,,,,
Enable Gas Transmission LLC,Cullen Heirs IC,,,,
Enable Gas Transmission LLC,Donaldson-Allison Cp,,,,
Enable Gas Transmission LLC,Duke @ Carthage Plt Hp,,,,
Enable Gas Transmission LLC,E Texas Del Area 501,,,,
Enable Gas Transmission LLC,Eastrans DCP Carthag,,,,
Enable Gas Transmission LLC,Eastrans Del Disp CP,,,,
Enable Gas Transmission LLC,Enable Midstream Line AU IC F-185,,,,
Enable Gas Transmission LLC,Enbridge DD to CP,,,,
Enable Gas Transmission LLC,Enbridge Ic 8,,,,
Enable Gas Transmission LLC,Energy Transfer To Carthage-Perryville PL,,,,
Enable Gas Transmission LLC,Enterprise @ CP,,,,
Enable Gas Transmission LLC,ETC HPL Del,,,,
Enable Gas Transmission LLC,ETC/HPL Deldisp,,,,
Enable Gas Transmission LLC,Etex Med Ctr Pitts Acct,,,,
Enable Gas Transmission LLC,F-185 to EMP Line AU IC,,,,
Enable Gas Transmission LLC,Gemini Panola,,,,
Enable Gas Transmission LLC,Gregg County IC,,,,
Enable Gas Transmission LLC,Gregg County IC #2,,,,
Enable Gas Transmission LLC,GSPL Header Rec,,,,
Enable Gas Transmission LLC,GULF RUN @ CP-3 TO ST-1,,,,
Enable Gas Transmission LLC,GULF RUN @ MONUMENT DEL,,,,
Enable Gas Transmission LLC,GULF RUN @ MONUMENT REC,,,,
Enable Gas Transmission LLC,GULF RUN EAST TEXAS,,,,
Enable Gas Transmission LLC,Intersearch @ Wood Del,,,,
Enable Gas Transmission LLC,Lone Star Gas_Ic,,,,
Enable Gas Transmission LLC,Markwest East Tx CP,,,,
Enable Gas Transmission LLC,Marlin Midstream CEGT,,,,
Enable Gas Transmission LLC,Marlin Midstream,,,,
Enable Gas Transmission LLC,Marlin Midstream Disp,,,,
Enable Gas Transmission LLC,Mattie Dixon Ctp,,,,
Enable Gas Transmission LLC,National Energy,,,,
Enable Gas Transmission LLC,El Paso @ Line 2 S(Del),,,,
Enable Gas Transmission LLC,El Paso @ Line 2 South,,,,
Enable Gas Transmission LLC,North Tatum Field Ic,,,,
Enable Gas Transmission LLC,Oneok Westex Summary,,,,
Enable Gas Transmission LLC,PVR To CP-3,,,,
Enable Gas Transmission LLC,Red River @ Hemp Del,,,,
Enable Gas Transmission LLC,Refs To Regt F-185,,,,
Enable Gas Transmission LLC,Rockcliff D CRP CP,,,,
Enable Gas Transmission LLC,Rockcliff Ic St-1 Panol,,,,
Enable Gas Transmission LLC,Ruppe Well #1_Cp,,,,
Enable Gas Transmission LLC,Ruppie/Fenell/Newman #1,,,,
Enable Gas Transmission LLC,Tenaska East TX CP,,,,
Enable Gas Transmission LLC,Tenaska East Tx Cp Ic,,,,
Enable Gas Transmission LLC,Tet @ Jefferson Receipt,,,,
Enable Gas Transmission LLC,Tj Blackburn Syrup Acct,,,,
Enable Gas Transmission LLC,Lone Star Ordinance,,,,
Enable Gas Transmission LLC,Red River Army Depot,,,,
Enable Gas Transmission LLC,Valero @ Panola Del,,,,
Enable Gas Transmission LLC,Valero Gfp @ Panola Co,,,,
Enable Gas Transmission LLC,Waskom Plant Tailgate,,,,
Enable Gas Transmission LLC,Waskom Plant Core Tetlp,,,,
Enable Gas Transmission LLC,Waskom Plant F-185 Del,,,,
Enable Gas Transmission LLC,MRT West Line To Am-200,,,,
Enable Gas Transmission LLC,Mrt Karnack Rec,,,,
Enable Gas Transmission LLC,Willow Springs Ic,,,,
Enable Gas Transmission LLC,Woodall Plant,,,,
Enable Mississippi River Transmission LLC,Delhi @ Harrison,,,,
Enable Mississippi River Transmission LLC,Delhi/Harrison County,,,,
Enable Mississippi River Transmission LLC,EasTrans DCP Carthage MRT,,,,
Enable Mississippi River Transmission LLC,Natural @ Harrison,,,,
Enable Mississippi River Transmission LLC,Ngpl / Mrt Harrison Co (Ngpl Pin #955),,,,
Enable Mississippi River Transmission LLC,Ngpl @ Harrison To Ngpl,,,,
Enable Mississippi River Transmission LLC,Tejas Gas Corp,,,,
Enable Mississippi River Transmission LLC,Waskom Rec on MRT,,,,
Enable Mississippi River Transmission LLC,WC MRT VIP,,,,
Enable Mississippi River Transmission LLC,Mrt Wl Del To Am200,,,,
Enable Mississippi River Transmission LLC,Regt Karnack,,,,
Nueva Era Pipeline LLC,Colombia,Impulsora Pipeline LLC,https://api.velocitysuiteonline.com/v1/iq?dataset=2359&format=csv&item=27496&item=27545&item=27535&item=13244&item=17062&item=4969&item=10895&item=4973&item=17147&item=17148&item=17149&item=9566&item=27498&item=27546&item=13245&filter=W|27496||In|2451383&filter=W|10895||In|Yes&filter=W|4969||gte|1%2f1%2f2018&filter=W|27536||In|79237&api_key=ba71a029-a6fd-40cc-b0b7-6e4eb905dc57,,
