CRR Buses,WECC Buses,Similarity
METCLF 4,MIDWAY-R13,0.3893005509514757
METCLF 4,MIDWAY-R12,0.3875989636498884
METCLF 4,MIDWAY-R11,0.42142753507845987
METCLF 4,MIDWAY-F,0.6098253335607539
METCLF 4,MIDWAY-E,0.5636832220203458
METCLF 4,MIDWAY-DBAAH,0.4795656062210166
METCLF 4,MIDWAY-DDBSB,0.5267933834482034
METCLF 4,MORROBAY,0.5863951878753427
METCLF 4,MUSTANGSS,0.6034479254611084
METCLF 4,MC CALL,0.5872302400444294
METCLF 4,MOSSLNSW,0.6584277918882516
METCLF 4,METCALF,0.9567435445755472
METCLF 4,MONTAVIS,0.6484369590548011
METCLF 4,MARTIN C,0.5449766379290354
METCLF 4,MARIPOSA,0.3843350508441563
METCLF 4,MORAGA,0.551843358056866
METCLF 4,MARSHLD2,0.399916636245658
METCLF 4,MARSHLD1,0.40110943753276995
METCLF 4,MDDLFK M,0.4170688230070966
METCLF 4,MALACHA2,0.4110137327228803
METCLF 4,MOC_TAP6,0.44711279529020787
METCLF 4,MOC_TAP5,0.4907186423319489
NEWARK 3,NEWARK E,0.7649156606459433
NEWARK 3,NEWARK D,0.8603815522895248
NEWARK 3,NCPA2,0.3928243295724981
NEWARK 3,NCPATT2,0.4432223218426438
NEWARK 3,NCPA1,0.3935796783221093
NEWARK 3,NRSriser,0.4479020401245686
ROSMOR 2,REMUSTANG,0.5226639479174507
ROSMOR 2,RETRQLTY,0.6140231913929641
ROSMOR 2,RAVENSWD,0.42712812504049735
ROSMOR 2,RALPH,0.6566075367248567
ROSMOR 2,RALPHJCT,0.4695358455749523
ROSMOR 2,RESEARCH,0.6386364229707105
ROSMOR 2,ROSSTAP2,0.5587432063762064
ROSMOR 2,ROSSTAP1,0.5697432063762065
ROSMOR 2,RUSSELLSMUD,0.565317762017696
ROSMOR 2,RIO OSO,0.4893197425963677
ROSMOR 2,RK C JT2,0.4552830039481092
ROSMOR 2,RK C JT1,0.44576013516914936
ROSMOR 2,ROUND MT,0.4850188993098076
ROSMOR 2,ROSEVILL,0.4407777466597971
ROSMOR 2,RNCHSECO,0.30304379748125976
BRDSLD 1,BKRSFLDA,0.48880547706261995
BRDSLD 1,BKRSFDJ2,0.46456691361139
BRDSLD 1,BALCH3TP,0.4306076004616515
BRDSLD 1,BORDEN,0.44360363416868864
BRDSLD 1,BVISTAWNDC1,0.6554236477891382
BRDSLD 1,BELLOTA,0.39482809022590876
BRDSLD 1,BDLSWSTA,0.469049026406307
BRDSLD 1,BOTTLERK,0.5919947043910784
BRDSLD 1,BEARCNYN,0.5899395104821452
BRDSLD 1,BCKS CRK,0.5623888058765433
BRDSLD 1,BELDENTP,0.4540936837687546
BRDSLD 1,BLACK,0.5679010945037042
BRDSLD 1,BUENAVJ2,0.36974614384911403
BRDSLD 1,BUENAVJ1,0.36974614384911403
NCPA   7,NEWARK E,0.4044148981302646
NCPA   7,NEWARK D,0.39902922671039387
NCPA   7,NCPA2,0.9375485380116961
NCPA   7,NCPATT2,0.5717828460038986
NCPA   7,NCPA1,0.6982186678818258
NCPA   7,NRSriser,0.4042785958898793
PIT6   3,PINEFLAT,0.7134351344954115
PIT6   3,PINEFLATJCT,0.5554539815964818
PIT6   3,PANO_EC,0.5776380473858848
PIT6   3,PNCHE 1M,0.5735282334856611
PIT6   3,PANOCHE,0.38808771530886904
PIT6   3,PADREFLATSSS,0.5525714609152292
PIT6   3,POTRERO,0.6769644977490243
PIT6   3,PPASSWND,0.5940434414628681
PIT6   3,PPASSJCT,0.5698240042971465
PIT6   3,PITSBG E,0.5083624460018806
PIT6   3,PITSBG D,0.5060098850350951
PIT6   3,PIT 6 JT,0.6131537414965986
PIT6   3,PIT 4 JT,0.6148347385591537
PIT6   3,PIT 7JT2,0.6178306853065272
PIT6   3,PIT 7 JT,0.6274306853065272
PIT6   3,PIT 6,0.9930612244897961
PIT6   3,PIT5JT2,0.5993383941376877
PIT6   3,PIT 4,0.8017389542366147
PIT6   3,PIT 1,0.5724285733086042
PIT6   3,PARKER1M,0.6244609231472134
PIT6   3,PRKR MID,0.4150930085645811
PIT6   3,PARKER2M,0.5923409484989127
PIT6   3,PROCTERJ,0.640572109661396
PIT6   3,PROCTERI,0.6380536570523929
PIT6   3,PROCTER,0.5800107366354598
PIT6   3,POCKET,0.5343899772851164
PIT6   3,PNCHVLY,0.5075769095729892
PIT5   3,PINEFLAT,0.6044100296988675
PIT5   3,PINEFLATJCT,0.5666374223768077
PIT5   3,PANO_EC,0.49536583704633275
PIT5   3,PNCHE 1M,0.4993460001273411
PIT5   3,PANOCHE,0.4195893876479159
PIT5   3,PADREFLATSSS,0.532036281777079
PIT5   3,POTRERO,0.5984589960757338
PIT5   3,PPASSWND,0.4975539736654705
PIT5   3,PPASSJCT,0.5242132293170616
PIT5   3,PITSBG E,0.49905465411675226
PIT5   3,PITSBG D,0.49357257066815696
PIT5   3,PIT 6 JT,0.6159581948331907
PIT5   3,PIT 4 JT,0.5608450702477427
PIT5   3,PIT 7JT2,0.6209604708902186
PIT5   3,PIT 7 JT,0.5839581948331907
PIT5   3,PIT 6,0.7644078994143021
PIT5   3,PIT5JT2,0.5781934269969902
PIT5   3,PIT 4,0.7614735253016327
PIT5   3,PIT 1,0.536141908038016
PIT5   3,PARKER1M,0.6471031452960364
PIT5   3,PRKR MID,0.422264675212898
PIT5   3,PARKER2M,0.582954481278336
PIT5   3,PROCTERJ,0.6420756598567103
PIT5   3,PROCTERI,0.6132734457849044
PIT5   3,PROCTER,0.5271994103972667
PIT5   3,POCKET,0.5256593198403151
PIT5   3,PNCHVLY,0.4836165697380824
RNDMTN 3,REMUSTANG,0.39844491307229424
RNDMTN 3,RETRQLTY,0.40669718996550475
RNDMTN 3,RAVENSWD,0.46147038841089816
RNDMTN 3,RALPH,0.3906022962502258
RNDMTN 3,RALPHJCT,0.4467841087105727
RNDMTN 3,RESEARCH,0.38556708827367986
RNDMTN 3,ROSSTAP2,0.5118757221374254
RNDMTN 3,ROSSTAP1,0.513170040043148
RNDMTN 3,RUSSELLSMUD,0.37149364330253326
RNDMTN 3,RIO OSO,0.5553655792281467
RNDMTN 3,RK C JT2,0.5262174739321455
RNDMTN 3,RK C JT1,0.5245986237656208
RNDMTN 3,ROUND MT,0.935997383554371
RNDMTN 3,ROSEVILL,0.5112794301632262
RNDMTN 3,RNCHSECO,0.5773251520777141
RCKCRK 4,REMUSTANG,0.4096371582497633
RCKCRK 4,RETRQLTY,0.44371093579651993
RCKCRK 4,RAVENSWD,0.4855295784089481
RCKCRK 4,RALPH,0.4810482911767091
RCKCRK 4,RALPHJCT,0.6315906867195163
RCKCRK 4,RESEARCH,0.45593438460814206
RCKCRK 4,ROSSTAP2,0.560034317263177
RCKCRK 4,ROSSTAP1,0.5810628886917484
RCKCRK 4,RUSSELLSMUD,0.4262497866598043
RCKCRK 4,RIO OSO,0.451847822675552
RCKCRK 4,RK C JT2,0.8996738176855658
RCKCRK 4,RK C JT1,0.7339996997079548
RCKCRK 4,ROUND MT,0.4937455786775754
RCKCRK 4,ROSEVILL,0.5369621092077794
RCKCRK 4,RNCHSECO,0.4007078867933233
TBLMTN 5,TRANQLTYSS,0.5753206461350264
TBLMTN 5,TESLA C,0.6251747672978822
TBLMTN 5,TESLA D,0.5514114348251489
TBLMTN 5,TESLA E,0.5637322570376588
TBLMTN 5,TIGR CKM,0.3995818279413031
TBLMTN 5,TIGR CRK,0.47035629301912907
TBLMTN 5,TABLE MTN E,0.750527396964858
TBLMTN 5,TBL MT2M,0.5445468056623979
TBLMTN 5,TABLE MTN D,0.9051280482311947
TBLMTN 5,TBC_PTB1,0.3607306107442158
TBLMTN 5,THM JCT,0.5009683406995766
TBLMTN 5,THM JCT2,0.4972308406995767
TBLMTN 5,TRINITY,0.4225630189632434
TBLMTN 5,TRCY PMP,0.6113699625628195
TBLMTN 5,TRNQ8GVS,0.31965821873938405
GOLDHL 2,GATES F,0.5361906496730382
GOLDHL 2,GATES E,0.5059478227259735
GOLDHL 2,GATES D,0.5930946243661231
GOLDHL 2,GREGG,0.5016975004834611
GOLDHL 2,GATEWAY,0.38859130420722
GOLDHL 2,GEYSR20,0.40675452500412457
GOLDHL 2,GEYSR13,0.4050149806429821
GOLDHL 2,G13TT1_8,0.5220334617286777
GOLDHL 2,G13TT1_9,0.48509447906111247
GOLDHL 2,G9CRT111,0.4863549777888465
GOLDHL 2,GEYSR16,0.4061523508415437
GOLDHL 2,G16T0_2,0.5370398360111961
GOLDHL 2,GEYSR14,0.44563050266630944
GOLDHL 2,GEYSR18,0.4478588087395682
GOLDHL 2,GEYSR12,0.4467661440406796
GOLDHL 2,G14CRT15,0.5245761038667153
GOLDHL 2,G9CRT2_9,0.5212027347908459
GOLDHL 2,GOLDHILL,0.9160141120983967
GOLDHL 2,GOOSEHAVEN,0.41173192751768994
GOLDHL 2,GHVNCRDJCT,0.47728631947506783
GEYS14 3,GATES F,0.4634315794429254
GEYS14 3,GATES E,0.4495559261826925
GEYS14 3,GATES D,0.44655408821050935
GEYS14 3,GREGG,0.3898358326796442
GEYS14 3,GATEWAY,0.5415396814357885
GEYS14 3,GEYSR20,0.7195748639192352
GEYS14 3,GEYSR13,0.7317648388565786
GEYS14 3,G13TT1_8,0.47770682151287686
GEYS14 3,G13TT1_9,0.5026408607244011
GEYS14 3,G9CRT111,0.46387773748285416
GEYS14 3,GEYSR16,0.7241430467838943
GEYS14 3,G16T0_2,0.45327555918123486
GEYS14 3,GEYSR14,0.9508283222722949
GEYS14 3,GEYSR18,0.8183407270408978
GEYS14 3,GEYSR12,0.8472298868094525
GEYS14 3,G14CRT15,0.5420094407574316
GEYS14 3,G9CRT2_9,0.5314469090136327
GEYS14 3,GOLDHILL,0.4302110708049595
GEYS14 3,GOOSEHAVEN,0.647432812333419
GEYS14 3,GHVNCRDJCT,0.4789725797895831
GEYS16 2,GATES F,0.528112274253249
GEYS16 2,GATES E,0.5329896192432245
GEYS16 2,GATES D,0.5922940481770846
GEYS16 2,GREGG,0.4793257993711665
GEYS16 2,GATEWAY,0.4611046326933311
GEYS16 2,GEYSR20,0.6345955960285201
GEYS16 2,GEYSR13,0.6316530010797058
GEYS16 2,G13TT1_8,0.716167432644645
GEYS16 2,G13TT1_9,0.70898424013639
GEYS16 2,G9CRT111,0.6796688250780045
GEYS16 2,GEYSR16,0.6429340943889346
GEYS16 2,G16T0_2,0.8007809650557646
GEYS16 2,GEYSR14,0.5612901688243904
GEYS16 2,GEYSR18,0.5650930341256054
GEYS16 2,GEYSR12,0.5697971034602975
GEYS16 2,G14CRT15,0.6156360275720245
GEYS16 2,G9CRT2_9,0.6205611488715458
GEYS16 2,GOLDHILL,0.4736816392863331
GEYS16 2,GOOSEHAVEN,0.40637196844307644
GEYS16 2,GHVNCRDJCT,0.7050344542062004
CROKET 3,CVSR,0.4517420789192175
CROKET 3,CALNTESS,0.5266978259386341
CROKET 3,CALFLATS-STH,0.44706986736663906
CROKET 3,CALFLTSN,0.45856888652631983
CROKET 3,CALFLATSSS,0.543398516464028
CROKET 3,C.COSTAPPF,0.5092376314072637
CROKET 3,C.COSTAPPE,0.4662164052216984
CROKET 3,CV BART,0.461930340605
CROKET 3,CASTROVL,0.5847767300998686
CROKET 3,CAYETANO,0.6205416131309871
CROKET 3,C.COSTAPPD,0.4864842226917957
CROKET 3,CC SUB,0.5922424301601485
CROKET 3,CAMANCH,0.6293067683776843
CROKET 3,CRTNA  M,0.4922639440489726
CROKET 3,CORTINA,0.6253881028171177
CROKET 3,C&H,0.549904496698787
CROKET 3,CROCKETT,0.9878959608807414
CROKET 3,CR2T3_18,0.6955105450902077
CROKET 3,CR1T3_18,0.6670494816908737
CROKET 3,CARBOU M,0.46380630618215757
CROKET 3,COVE_RD.,0.6342535836855261
CROKET 3,COVERDTP,0.5314402835881712
CROKET 3,COLUSAPP2,0.41295460843671716
CROKET 3,CARBERY,0.5717834659202474
CROKET 3,COLUSAPP1,0.4202937234178638
CROKET 3,COTWD_F2,0.5372716428402219
CROKET 3,COTWD_F,0.5358926181501578
CROKET 3,COTWD_E,0.5806424834323729
CROKET 3,COTWD_E2,0.5989963638442475
CROKET 3,CAMANCPP,0.3962929203958336
CROKET 3,COTWWAP2,0.5810342255012639
CROKET 3,COTWDWAP,0.5122020444737698
CROKET 3,CORDOVA,0.5993403522013312
CROKET 3,COSUMNE3,0.40835464467727745
CROKET 3,COSUMNE2,0.4537567044167862
CROKET 3,COSUMNE1,0.40835464467727745
CROKET 3,CAMINO S,0.6618490067986449
CROKET 3,CREED,0.4659681493977238
GEYS13 2,GATES F,0.4646348850031603
GEYS13 2,GATES E,0.4818207199657864
GEYS13 2,GATES D,0.48021467801807444
GEYS13 2,GREGG,0.3891753132567249
GEYS13 2,GATEWAY,0.5385260500407246
GEYS13 2,GEYSR20,0.786555748390531
GEYS13 2,GEYSR13,0.9552348415361778
GEYS13 2,G13TT1_8,0.5538486508824296
GEYS13 2,G13TT1_9,0.5466511501036045
GEYS13 2,G9CRT111,0.5259400389924935
GEYS13 2,GEYSR16,0.8043650331464361
GEYS13 2,G16T0_2,0.5208302104377894
