CRR Buses,WECC Buses,Similarity
HEATHF 2,ADELANTY,0.05416666666666667
HEATHF 2,ECO MP,0.21666666666666667
HEATHF 2,mid_99779,0.1625
HEATHF 2,NWEST,0.16000000000000003
HEATHF 2,JOHN DAY,0.09031249999999998
HEATHF 2,GRAND_COULEE,0.02826086956521739
HEATHF 2,ALVEY_TIE,0.21666666666666667
HEATHF 2,GND_COULE_24,0.1640909090909091
HEATHF 2,mid_81721,0.09285714285714286
HEATHF 2,mid_81974,0.1625
HEATHF 2,ADL PF BUS 3,0.11249999999999999
HEATHF 2,TKW 500,0.1597222222222222
HEATHF 2,MDN 500,0.030952380952380953
HEATHF 2,DMR 500,0.10833333333333334
HEATHF 2,MLS 5C1K,0.0590909090909091
HEATHF 2,CRYSTAL,0.065
HEATHF 2,COLSTRIP 500,0.13055555555555554
HEATHF 2,SUNNYB2,0.13
HEATHF 2,HAE SVC,0.14166666666666666
HEATHF 2,RING2DUM,0.325
HEATHF 2,NIC 500,0.020967741935483872
HEATHF 2,ACK 500,0.027083333333333334
HEATHF 2,KDY 5C2W,0.05416666666666667
HEATHF 2,CAPTJACK,0.12333333333333332
HEATHF 2,CHP 5C1K,0.1290909090909091
HEATHF 2,MCCULLGH,0.040625
HEATHF 2,GND_COULE_20,0.1640909090909091
HEATHF 2,LUGO,0.025
HEATHF 2,mid_81895,0.08125
HEATHF 2,COLRIVER,0.08125
HEATHF 2,WESTWING,0.16055555555555556
HEATHF 2,CRSTL N,0.165
HEATHF 2,mid_81772,0.1625
HEATHF 2,SUMMER L,0.10833333333333334
HEATHF 2,BUCKLEY,0.040625
HEATHF 2,SLHWK,0.1422222222222222
HEATHF 2,mid_81896,0.08125
HEATHF 2,mid_81854,0.09285714285714286
HEATHF 2,MOHAVE,0.1597222222222222
HEATHF 2,PERKINS,0.07222222222222222
HEATHF 2,JOJOBA,0.02826086956521739
HEATHF 2,DELANEY,0.05416666666666667
HEATHF 2,mid_81999,0.09285714285714286
HEATHF 2,BROADVIEW B,0.05416666666666667
HEATHF 2,mid_81817,0.10833333333333334
HEATHF 2,mid_97940,0.21666666666666667
HEATHF 2,PAUL,0.040625
HEATHF 2,PERK PS1,0.1625
HEATHF 2,IV BK81 MP,0.10833333333333334
HEATHF 2,COPPMTN3,0.13
HEATHF 2,mid_81832,0.0590909090909091
HEATHF 2,GND_COULE_19,0.1640909090909091
HEATHF 2,JOHNDAY_PH1,0.09791666666666667
HEATHF 2,SUNCREST,0.1625
HEATHF 2,LENZ CB1,0.13
HEATHF 2,HTHFIELD1,0.48
HEATHF 2,mid_81973,0.1625
HEATHF 2,mid_81771,0.1625
HEATHF 2,MORGAN,0.065
HEATHF 2,TOLUCA,0.14166666666666666
HEATHF 2,WAUTOMA,0.1375
HEATHF 2,SEL 500,0.034210526315789476
HEATHF 2,LENZIE,0.05416666666666667
HEATHF 2,ARLINTON,0.043333333333333335
HEATHF 2,ECHOLAKE,0.04642857142857143
HEATHF 2,CHEF_JO_PH5,0.235
HEATHF 2,mid_81818,0.10833333333333334
HEATHF 2,SBK 500,0.04642857142857143
HEATHF 2,MIDWAY,0.05
HEATHF 2,mid_81853,0.09285714285714286
HEATHF 2,AVSOLAR,0.043333333333333335
HEATHF 2,SCHULTZ,0.08928571428571427
HEATHF 2,ROUND MT,0.07222222222222222
HEATHF 2,ROUNDB_STR,0.325
HEATHF 2,BROADVIEW,0.05
HEATHF 2,PCN 500,0.03611111111111111
HEATHF 2,Q227,0.1625
HEATHF 2,AMC 5C1I,0.0590909090909091
HEATHF 2,SKA 500,0.10833333333333334
HEATHF 2,HERMCALP,0.3833333333333333
HEATHF 2,CUSTER,0.08125
HEATHF 2,KDY 5C2G,0.08125
HEATHF 2,PINAL_C,0.08125
HEATHF 2,DIABLOCNYNSS,0.0590909090909091
HEATHF 2,mid_81752,0.07222222222222222
HEATHF 2,mid_81806,0.1625
HEATHF 2,RD MT 1M,0.13
HEATHF 2,TORTOLITA,0.17833333333333332
HEATHF 2,VINCENT,0.030952380952380953
HEATHF 2,VAS 500,0.0325
HEATHF 2,ALVEY,0.13
HEATHF 2,LOW_GRN_PH1,0.2675
HEATHF 2,NAVAJO,0.10833333333333334
HEATHF 2,JOHNDAY_PH2,0.09791666666666667
HEATHF 2,LAUGHLIN2,0.23249999999999998
HEATHF 2,mid_81794,0.09285714285714286
HEATHF 2,MOAPA,0.10833333333333334
HEATHF 2,KNIGHT,0.11642857142857141
HEATHF 2,SYA 5C1M,0.13
HEATHF 2,mid_81862,0.08125
HEATHF 2,mid_81793,0.09285714285714286
HEATHF 2,PALOVRDE,0.03823529411764706
HEATHF 2,BIG_HAN_STA#,0.19785714285714284
HEATHF 2,ADL PF BUS 2,0.11249999999999999
HEATHF 2,TCY MP1,0.13
