1: PINLCN 2, 2: ECO, Similarity Score: 0.6996086470207946
1: HARQUA10, 2: HARQUAHA, Similarity Score: 0.9222496557043477
1: SERRAN 6, 2: SERRANO, Similarity Score: 0.9178581643368446
1: COLS_A 1, 2: mid_81894, Similarity Score: 0.6552153922149514
1: SG    10, 2: SAGUARO, Similarity Score: 0.7383795274265408
1: LENZIE 9, 2: LENZ CB1, Similarity Score: 0.8624930616164422
1: CHEHAL 4, 2: KEEPHIL3, Similarity Score: 0.6819401937014331
1: CUSTER 2, 2: COLSTRIP 500, Similarity Score: 0.689377125046158
1: CELIPG 1, 2: COLSTRIPGSU4, Similarity Score: 0.657928853320352
1: MAPLE_ 5, 2: mid_81922, Similarity Score: 0.7137745611958032
1: MOA_PP 2, 2: L.BANS M, Similarity Score: 0.7262682694081068
1: TOL_LA 4, 2: TOLUCA, Similarity Score: 0.8394837236004121
1: MCC_LA 3, 2: LOW MON, Similarity Score: 0.7083971222931454
1: RIN    4, 2: RINALDI2, Similarity Score: 0.8394837236004121
1: HACC   4, 2: HA CC, Similarity Score: 0.8090604348235868
1: JOHN_D16, 2: JOHNDAY_PH4, Similarity Score: 0.8994468524552285
1: RW     1, 2: BROADVIEW, Similarity Score: 0.6664262776291722
1: PL     6, 2: PAUL, Similarity Score: 0.6960413217531385
1: TACOMA 2, 2: TACOMA, Similarity Score: 0.8554795096191724
1: WHIRWD 8, 2: WIRLWIND, Similarity Score: 0.7646821283918486
1: OLYMPI 8, 2: OLYMPIA, Similarity Score: 0.841621778940723
1: DWORSH 8, 2: DWORSHAK_PH, Similarity Score: 0.8464051833797219
1: HOT_SP 2, 2: HOT SPR, Similarity Score: 0.9464883957851127
1: MRG    3, 2: MORGAN, Similarity Score: 0.7096943475991948
1: GENESE 5, 2: GENESEE4, Similarity Score: 0.7676480102950357
1: TROUTD 2, 2: TROUTDAL, Similarity Score: 0.9291585588818272
1: GATES  8, 2: GATES, Similarity Score: 0.9373016157618262
1: SACJWA 1, 2: SACJWA#, Similarity Score: 0.7675350230480915
1: THICKW 2, 2: THICKWD1, Similarity Score: 0.8355903340349533
1: LENZIE 8, 2: LENZIE, Similarity Score: 0.8109295842211246
1: ASHE   5, 2: LIT_GOS_PH1, Similarity Score: 0.7613602210501615
1: SCHULT 2, 2: SCHULTZ, Similarity Score: 0.6903076927459822
1: CH    10, 2: CHP 5C1C, Similarity Score: 0.713392849646076
1: COLSTR14, 2: GND_COULE_24, Similarity Score: 0.6189869958332306
1: SANTIA 4, 2: SANTIAM, Similarity Score: 0.7840841741911811
