Path,Sourcename,Sinkname,PEAKTYPE,HEDGETYPE,Period,DA congestion,RT LMP,Seq6,Seq5,Seq4,Seq3,Seq2,Seq1,Monthly Auction,Monthly Auction PnL,Seq1 PnL,Seq2 PnL,Seq3 PnL,Seq4 PnL,Seq5 PnL,Seq6 PnL,Plant,Size (MW),ShadowPricePerMWH,BidPricePerMWH
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2019-01-01,-0.0781,-0.1355,,,0.03,0.01,0.25,0.13,0.2357,-0.3138,-0.2081,-0.3281,-0.0881,-0.1081,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2019-02-01,-0.0243,-0.1949,,,0.18,0.16,0.28,0.1,0.4743,-0.4986,-0.1243,-0.3043,-0.1843,-0.2043,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2019-03-01,0.5503,0.4841,,,0.21,0.44,0.51,0.53,0.0271,0.5232,0.020299999999999985,0.0403,0.1103,0.34030000000000005,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2019-04-01,0.6336,0.5587,,,0.21,0.15,0.64,0.55,0.6102,0.023400000000000087,0.08360000000000001,-0.006399999999999961,0.4836,0.4236000000000001,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2019-05-01,0.2349,-0.0169,,,0.28,0.17,0.38,0.27,0.5027,-0.26780000000000004,-0.03510000000000002,-0.1451,0.06489999999999999,-0.04510000000000003,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2019-06-01,0.171,0.0783,,,0.26,0.16,0.48,0.09,0.3396,-0.1686,0.08100000000000003,-0.30899999999999994,0.01100000000000001,-0.08900000000000001,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2019-07-01,0.0349,0.0045,,,0.05,-0.06,-0.0465,0.4009,0.2245,-0.1896,-0.366,0.0814,0.0949,-0.015100000000000002,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2019-08-01,0.0236,0.0514,,,-0.14,0.32,-0.0577,0.3763,0.2217,-0.1981,-0.3527,0.0813,-0.2964,0.16360000000000002,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2019-09-01,-0.0712,-0.1239,,,0.05,0.17,0.0898,0.2885,0.2612,-0.3324,-0.3597,-0.161,-0.24120000000000005,-0.1212,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2019-10-01,-0.1821,-0.362,,,0.07,0.45,0.2473,0.3492,0.1492,-0.33130000000000004,-0.5313,-0.4294,-0.6321,-0.2521,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2019-11-01,0.1921,-0.884,,,0.19,0.43,0.2196,0.5304,0.0835,0.1086,-0.3383,-0.0275,-0.2379,0.0020999999999999908,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2019-12-01,0.2218,0.0327,,,0.1,0.39,0.2411,0.3311,0.0947,0.1271,-0.1093,-0.019300000000000008,-0.16820000000000002,0.1218,,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2020-01-01,0.258,0.142,,0.01,0.12,0.0354,-0.0296,-0.0786,0.0876,0.1704,0.3366,0.2876,0.2226,0.138,0.248,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2020-02-01,0.1984,0.4239,,0.08,0.14,0.1462,0.1442,-0.1175,0.3899,-0.19150000000000006,0.3159,0.0542,0.0522,0.05839999999999997,0.1184,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2020-03-01,0.2817,0.9571,,0.26,0.37,0.1554,0.4784,0.1244,0.1238,0.1579,0.1573,-0.1967,0.1263,-0.08829999999999999,0.0217,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2020-04-01,1.5602,1.8246,,0.2,0.22,0.1667,0.4178,0.1263,0.3035,1.2567,1.4339,1.1424,1.3935,1.3402,1.3602,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2020-05-01,0.6913,0.2092,,0.19,0.35,0.2575,0.4476,0.2812,0.7312,-0.039899999999999936,0.4101,0.24370000000000006,0.4338,0.34130000000000005,0.5013000000000001,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2020-06-01,0.5818,0.1722,,0.01,0.33,0.0886,0.4627,0.1966,0.2118,0.37,0.3852,0.11909999999999997,0.4932,0.2518,0.5718,,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2020-07-01,0.3351,-0.0701,-0.01,0.02,0.3129,0.14,0.099,0.2896,0.1952,0.1399,0.04549999999999999,0.2361,0.1951,0.0222,0.3151,0.3451,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2020-08-01,0.2093,-0.0087,-0.34,0.01,0.1229,0.3536,0.1652,0.2599,0.3108,-0.1015,-0.050600000000000006,0.0441,-0.1443,0.08640000000000002,0.1993,0.5493,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2020-09-01,0.1464,0.0794,0.07,0.01,0.329,0.5945,0.3112,0.3724,0.1667,-0.020299999999999985,-0.226,-0.16479999999999995,-0.4481000000000001,-0.1826,0.1364,0.0764,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2020-10-01,0.5246,0.1669,0.21,0.23,0.2544,0.1152,0.122,0.3053,0.1087,0.4159,0.21929999999999994,0.4026,0.4094,0.27019999999999994,0.2946,0.3146,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2020-11-01,1.0185,1.1007,0.23,0.2,0.5952,0.2164,0.2035,0.333,0.6001,0.4184,0.6855,0.815,0.8020999999999999,0.4233,0.8185,0.7885,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2020-12-01,0.1754,0.2369,0.23,0.17,0.3321,0.2806,0.1396,0.118,0.2411,-0.06570000000000001,0.057399999999999986,0.0358,-0.10520000000000003,-0.1567,0.005399999999999988,-0.05460000000000001,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2021-01-01,-0.033,-0.0085,0.07,0.0857,-0.0466,0.0548,0.2382,0.2107,0.2069,-0.2399,-0.2437,-0.2712,-0.0878,0.0136,-0.1187,-0.103,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2021-02-01,-1.8829,-5.9771,0.02,0.2123,-0.0202,0.0181,0.4271,0.2726,0.1218,-2.0047,-2.1555,-2.31,-1.901,-1.8627,-2.0952,-1.9029,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2021-03-01,0.0542,-0.0941,0.13,0.4987,0.2634,0.3669,0.2723,0.1234,0.3225,-0.2683,-0.0692,-0.2181,-0.3127,-0.2092,-0.4445,-0.0758,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2021-04-01,0.0186,-0.2913,0.32,0.3974,0.3164,0.5139,0.5573,0.0349,-0.5454,0.564,-0.016300000000000002,-0.5387000000000001,-0.4953,-0.2978,-0.3788,-0.3014,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2021-05-01,-0.0163,-0.1213,0.21,0.4195,0.2454,0.5442,0.5686,0.3781,-0.2159,0.1996,-0.3944,-0.5849,-0.5605,-0.2617,-0.4358,-0.2263,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2021-06-01,-0.1465,-0.2434,0.24,0.2014,0.2844,0.5069,0.2797,0.0349,-0.0319,-0.1146,-0.1814,-0.4262,-0.6534,-0.4309,-0.3479,-0.3865,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2021-07-01,0.0177,0.0669,0.1819,0.2463,0.4063,0.1446,0.3045,0.0515,-0.0425,0.0602,-0.0338,-0.2868,-0.1269,-0.3886,-0.2286,-0.1642,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2021-08-01,-0.0538,0.0453,0.4933,0.3388,0.4849,0.4405,0.2986,0.1915,-0.0591,0.005299999999999999,-0.2453,-0.3524,-0.4943,-0.5387,-0.3926,-0.5471,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2021-09-01,-0.0004,-0.2262,0.0478,0.2102,0.4895,0.1803,0.281,0.1126,-0.0721,0.0717,-0.113,-0.28140000000000004,-0.1807,-0.4899,-0.2106,-0.0482,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2021-10-01,-0.2435,-1.0355,0.345,0.0628,0.1667,0.147,0.1395,0.0461,-0.3546,0.11110000000000003,-0.2896,-0.38299999999999995,-0.3905,-0.4102,-0.3063,-0.5885,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2021-11-01,0.1919,0.0895,0.7844,0.1445,0.2071,0.2187,0.3574,0.1289,-0.1508,0.3427,0.063,-0.1655,-0.026800000000000015,-0.015200000000000019,0.0474,-0.5925,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2021-12-01,0.7028,0.7625,0.1124,0.3737,0.1254,0.3005,0.455,0.0656,-0.0341,0.7369,0.6372,0.2478,0.4023,0.5773999999999999,0.3291,0.5904,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2022-01-01,-0.1586,-0.3976,0.1965,0.2068,0.0682,0.2859,0.0423,0.0569,-1.4469999999999998,1.2883999999999998,-0.2155,-0.2009,-0.4445,-0.2268,-0.3654,-0.3551,,,,
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,OFFPEAK,Obligation,2022-02-01,-0.7361,-0.6022,0.3269,0.3355,0.1459,0.4576,0.0084,0.1802,-0.3857,-0.3504,-0.9163,-0.7444999999999999,-1.1937,-0.882,-1.0716,-1.063,,,,
