Path,Plant,Size (MW),Bid_ID,CRR_ID,OriginalCRR_ID,AccountHolder,HedgeType,Portfolio,BidType,CRRType,Source,Sink,StartDate,EndDate,TimeOfUse,Bid24Hour,MW,BidMW,ACI99,ACP,CreditConsumed,ShadowPricePerMWH,BidPricePerMWH
TXCTY_ST+HB_HOUSTON,Texas City,131.5,82991928,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,TXCTY_ST,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,28.2,,,,0.307487,0.015000000000000001
TXCTY_CTC+HB_HOUSTON,Texas City,100.6,82991926,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,TXCTY_CTC,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,21.4,,,,0.307487,0.015
TXCTY_CTB+HB_HOUSTON,Texas City,100.6,82991923,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,TXCTY_CTB,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,21.4,,,,0.307487,0.015000000000000001
TXCTY_CTA+HB_HOUSTON,Texas City,100.6,82991922,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,TXCTY_CTA,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,21.4,,,,0.307487,0.015000000000000001
PSG_PSG_ST1+HB_HOUSTON,Pasadena2,185,82991920,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,PSG_PSG_ST1,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,25.0,,,,0.09363049999999999,0.054000000000000006
PSG_PSG_GT3+HB_HOUSTON,Pasadena2,185,82991917,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,PSG_PSG_GT3,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,25.0,,,,0.09363049999999999,0.054000000000000006
PSG_PSG_GT2+HB_HOUSTON,Pasadena2,185,82991914,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,PSG_PSG_GT2,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,25.0,,,,0.09363049999999999,0.054000000000000006
NED_NEDIN_G3+HB_SOUTH,Magic Valley,255.5,82991981,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,NED_NEDIN_G3,HB_SOUTH,01/01/2019,01/31/2019,PeakWE,No,0.0,12.6,,,,0.5877614999999999,0.3329166666666667
NED_NEDIN_G2+HB_SOUTH,Magic Valley,213.6,82991972,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,NED_NEDIN_G2,HB_SOUTH,01/01/2019,01/31/2019,PeakWE,No,0.0,12.6,,,,0.5877614999999999,0.3329166666666667
NED_NEDIN_G1+HB_SOUTH,Magic Valley,213.6,82991965,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,NED_NEDIN_G1,HB_SOUTH,01/01/2019,01/31/2019,PeakWE,No,0.0,12.6,,,,0.5877614999999999,0.3329166666666667
