YEAR,MONTH,DAY,HOUR,WZ_COAST,WZ_EAST,WZ_FARWEST,WZ_NTHCEN,WZ_NORTH,WZ_STHCEN,WZ_SOUTH,WZ_WEST
2024,1,14,1,6784.0,1957.0,5766.0,19470.0,2098.0,7759.0,2523.0,1609.0
2024,1,14,2,6630.0,1996.0,5795.0,19770.0,2133.0,7793.0,2454.0,1560.0
2024,1,14,3,6583.0,2096.0,5756.0,20108.0,2159.0,7962.0,2348.0,1575.0
2024,1,14,4,6566.0,2174.0,5657.0,20539.0,2188.0,8215.0,2378.0,1701.0
2024,1,14,5,6698.0,2204.0,5694.0,21034.0,2222.0,8585.0,2457.0,1760.0
2024,1,14,6,6966.0,2276.0,5642.0,21586.0,2270.0,9100.0,2499.0,1807.0
2024,1,14,7,7398.0,2377.0,5462.0,22235.0,2302.0,9670.0,2615.0,1933.0
2024,1,14,8,7843.0,2490.0,5202.0,22898.0,2286.0,10326.0,2670.0,2058.0
2024,1,14,9,8180.0,2594.0,5119.0,23635.0,2327.0,10979.0,2806.0,2116.0
2024,1,14,10,8265.0,2668.0,5078.0,24280.0,2378.0,11445.0,2796.0,2109.0
2024,1,14,11,8198.0,2710.0,4890.0,24501.0,2297.0,11759.0,2818.0,2120.0
2024,1,14,12,8077.0,2726.0,4751.0,24688.0,2245.0,11868.0,2864.0,2077.0
2024,1,14,13,7916.0,2741.0,4652.0,24790.0,2199.0,11830.0,2860.0,2008.9999999999998
2024,1,14,14,7704.0,2766.0,4984.0,24701.0,2247.0,11763.0,2899.0,1991.0
2024,1,14,15,7514.0,2775.0,5105.0,24736.0,2274.0,11707.0,2829.0,1995.0
2024,1,14,16,7630.0,2795.0,4966.0,24693.0,2246.0,11843.0,2916.0,1987.0
2024,1,14,17,7907.0,2824.0,4871.0,24802.0,2256.0,12120.0,3020.0,2027.0
2024,1,14,18,8579.0,2918.0,4771.0,25309.0,2270.0,12580.0,3161.0,2118.0
2024,1,14,19,9329.0,2976.0,4882.0,25684.0,2357.0,13039.0,3344.0,2247.0
2024,1,14,20,9697.0,2990.0,5081.0,25879.0,2422.0,13278.0,3478.9999999999995,2295.0
2024,1,14,21,9919.0,2971.0,5093.0,25645.0,2427.0,13384.0,3454.9999999999995,2280.0
2024,1,14,22,9946.0,2939.0,5038.0,25291.0,2387.0,13453.0,3469.0,2292.0
2024,1,14,23,9776.0,2887.0,5027.0,24705.0,2356.0,13277.0,3410.0,2276.0
2024,1,14,24,9610.0,2847.0,4910.0,24265.0,2226.0,13162.0,3321.0,2236.0
2024,1,15,1,9385.0,2826.0,4902.0,23963.0,2196.0,13031.0,3196.0,2207.0
2024,1,15,2,9340.0,2816.0,4745.0,23808.0,2159.0,12893.0,3160.0,2237.0
2024,1,15,3,9381.0,2818.0,4593.0,23792.0,2154.0,13013.0,3158.0,2253.0
2024,1,15,4,9495.0,2828.0,4544.0,23876.0,2160.0,13136.0,3226.0,2237.0
2024,1,15,5,9674.0,2860.0,4429.0,24250.0,2170.0,13343.0,3398.0,2302.0
2024,1,15,6,10185.0,2909.0,4289.0,24730.0,2213.0,13581.0,3633.0,2365.0
2024,1,15,7,10783.0,2995.0,4199.0,25168.0,2262.0,13888.0,4019.0,2410.0
2024,1,15,8,11295.0,3077.0,4182.0,25775.0,2307.0,14062.0,4322.0,2449.0
2024,1,15,9,11664.0,3116.0,4065.0,26198.0,2270.0,14226.0,4609.0,2467.0
2024,1,15,10,12148.999999999998,3169.0,4087.0,26374.0,2199.0,14452.0,4877.0,2443.0
2024,1,15,11,12561.0,3197.0,4054.0,26248.0,2130.0,14641.0,4975.0,2373.0
2024,1,15,12,12806.0,3189.0,4016.0,25554.0,2048.0,14680.0,5156.0,2298.0
2024,1,15,13,12929.0,3152.0,4061.0,24466.0,1998.0,14370.0,5199.0,2216.0
2024,1,15,14,12938.0,3108.0,4439.0,23373.0,2013.0000000000002,14032.0,5149.0,2171.0
2024,1,15,15,12944.0,3063.0,4745.0,22302.0,1962.0,13774.0,5194.0,2198.0
2024,1,15,16,12868.0,3051.0,4432.0,21699.0,2035.9999999999998,13627.0,5137.0,2300.0
2024,1,15,17,12868.0,3040.0,4382.0,21864.0,2093.0,13674.0,5121.0,2306.0
2024,1,15,18,13185.0,3074.0,4610.0,23168.0,2250.0,14000.0,5189.0,2249.0
2024,1,15,19,13320.0,3123.0,4966.0,24369.0,2401.0,14319.0,5434.0,2250.0
2024,1,15,20,13193.0,3123.0,5042.0,24655.0,2445.0,14303.0,5465.0,2279.0
2024,1,15,21,13072.0,3102.0,5152.0,24774.0,2465.0,14207.0,5469.0,2288.0
2024,1,15,22,12799.0,3038.0,5238.0,24639.0,2421.0,14056.0,5486.0,2323.0
2024,1,15,23,12323.999999999998,3002.0,5211.0,24282.0,2348.0,13647.0,5409.0,2258.0
2024,1,15,24,11945.0,2984.0,5253.0,23761.0,2272.0,13474.0,5373.0,2137.0
2024,1,16,1,11730.0,2992.0,5207.0,23392.0,2268.0,13387.0,5352.0,2056.0
2024,1,16,2,11672.0,2999.0,5156.0,23339.0,2277.0,13397.0,5350.0,2072.0
2024,1,16,3,11705.0,3021.0,5042.0,23492.0,2273.0,13494.0,5345.0,2170.0
2024,1,16,4,11774.0,3061.0,4707.0,23575.0,2255.0,13583.0,5497.0,2242.0
2024,1,16,5,12022.0,3102.0,4591.0,23910.0,2218.0,13831.0,5609.0,2266.0
2024,1,16,6,12395.0,3164.0,4466.0,24726.0,2221.0,14171.0,5797.0,2314.0
2024,1,16,7,12676.0,3230.0,4352.0,25807.0,2307.0,14564.0,6047.0,2389.0
2024,1,16,8,12854.0,3299.0,4177.0,26623.0,2366.0,14496.0,6139.0,2375.0
2024,1,16,9,12825.0,3317.0,4088.0,26459.0,2322.0,14355.0,6349.0,2381.0
2024,1,16,10,12772.0,3236.0,4123.0,25712.0,2240.0,13964.0,6367.0,2304.0
2024,1,16,11,12611.0,3111.0,4249.0,24749.0,2280.0,13359.0,6136.0,2165.0
2024,1,16,12,12375.0,2990.0,4630.0,23694.0,2240.0,12682.0,5814.0,2064.0
2024,1,16,13,12217.0,2852.0,4697.0,22876.0,2207.0,12130.0,5498.0,2019.0
2024,1,16,14,11748.0,2715.0,4952.0,21880.0,2143.0,11526.0,5135.0,1939.0
2024,1,16,15,11355.0,2565.0,5216.0,20874.0,2041.0000000000002,11018.0,4947.0,1839.0
2024,1,16,16,11132.0,2480.0,5140.0,20211.0,2014.0,10742.0,4703.0,1798.0
2024,1,16,17,11143.0,2510.0,4825.0,20346.0,2006.0,10913.0,4696.0,1815.0
2024,1,16,18,11760.0,2685.0,4360.0,21469.0,1976.0,11572.0,4847.0,1895.0
2024,1,16,19,12430.999999999998,2867.0,4187.0,22709.0,2014.0,12422.0,5104.0,2053.0
2024,1,16,20,12609.0,2955.0,4194.0,23159.0,2064.0,12762.0,5333.0,2160.0
2024,1,16,21,12671.0,2966.0,4167.0,23361.0,2111.0,12953.0,5586.0,2242.0
2024,1,16,22,12498.0,2941.0,4308.0,23175.0,2100.0,12856.0,5575.0,2220.0
2024,1,16,23,11988.0,2877.0,4347.0,22587.0,2054.0,12621.0,5447.0,2158.0
2024,1,16,24,11597.0,2859.0,4852.0,22312.0,2033.0000000000002,12449.0,5311.0,2167.0
2024,1,17,1,11374.0,2863.0,5119.0,22103.0,2075.0,12403.0,5293.0,2206.0
2024,1,17,2,11310.0,2875.0,4877.0,22139.0,2076.0,12451.0,5297.0,2224.0
2024,1,17,3,11223.0,2887.0,4898.0,22147.0,2070.0,12622.0,5251.0,2207.0
2024,1,17,4,11338.0,2912.0,4835.0,22298.0,2077.0,12833.0,5164.0,2242.0
2024,1,17,5,11596.0,2991.0,4821.0,22691.0,2105.0,13110.0,5291.0,2295.0
2024,1,17,6,12124.0,3095.0,4824.0,23596.0,2169.0,13527.0,5493.0,2358.0
2024,1,17,7,12838.0,3224.0,4879.0,24632.0,2270.0,14201.0,5777.0,2441.0
2024,1,17,8,13086.0,3291.0,4924.0,25109.0,2307.0,14494.0,5911.0,2448.0
2024,1,17,9,12809.0,3160.0,4906.0,24295.0,2336.0,13941.0,5850.0,2403.0
2024,1,17,10,12275.0,2904.0,5070.0,23026.0,2294.0,12948.0,5614.0,2318.0
2024,1,17,11,11614.0,2707.0,5113.0,21744.0,2146.0,12030.0,5132.0,2170.0
2024,1,17,12,10940.0,2496.0,5174.0,20483.0,2037.0000000000002,11048.0,4688.0,2086.0
2024,1,17,13,10326.0,2317.0,5148.0,19316.0,1974.0,10308.0,4312.0,1995.0
2024,1,17,14,9829.0,2173.0,4991.0,18285.0,1921.0,9698.0,3950.0,1860.0
2024,1,17,15,9514.0,2105.0,4965.0,17556.0,1863.0,9308.0,3695.0,1754.0
