Path,TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP,FileName
BOSQ_BSQS_12 + HB_NORTH + PeakWD,05/02/2018,BOSQ_BSQS_12,HB_NORTH,PeakWD,06/01/2018,-0.8172,0.7113,2018.JUN
BTE_BTE_G1 + HB_HOUSTON + Off-peak,05/02/2018,BTE_BTE_G1,HB_HOUSTON,Off-peak,06/01/2018,-0.4885,-0.05,2018.JUN
BTE_BTE_G1 + HB_HOUSTON + PeakWD,05/02/2018,BTE_BTE_G1,HB_HOUSTON,PeakWD,06/01/2018,-1.5874,-0.54,2018.JUN
CHE_LYD + HB_HOUSTON + Off-peak,05/02/2018,CHE_LYD,HB_HOUSTON,Off-peak,06/01/2018,-0.3959,-0.06,2018.JUN
CTL_GT_102 + HB_HOUSTON + PeakWD,05/02/2018,CTL_GT_102,HB_HOUSTON,PeakWD,06/01/2018,-8.144,-0.9,2018.JUN
DDPEC_GT1 + HB_HOUSTON + PeakWD,05/02/2018,DDPEC_GT1,HB_HOUSTON,PeakWD,06/01/2018,-1.6446,-0.3,2018.JUN
DDPEC_GT1 + HB_HOUSTON + PeakWE,05/02/2018,DDPEC_GT1,HB_HOUSTON,PeakWE,06/01/2018,-1.6193,-0.36,2018.JUN
DDPEC_GT2 + HB_HOUSTON + PeakWD,05/02/2018,DDPEC_GT2,HB_HOUSTON,PeakWD,06/01/2018,-1.6446,-0.3,2018.JUN
FREC_1_CCU + HB_NORTH + PeakWD,05/02/2018,FREC_1_CCU,HB_NORTH,PeakWD,06/01/2018,-0.6868,-0.1,2018.JUN
FREC_1_CCU + HB_NORTH + PeakWE,05/02/2018,FREC_1_CCU,HB_NORTH,PeakWE,06/01/2018,-0.2875,-0.14,2018.JUN
FREC_2_CCU + HB_NORTH + PeakWD,05/02/2018,FREC_2_CCU,HB_NORTH,PeakWD,06/01/2018,-0.6847,-0.09,2018.JUN
GUADG_CCU1 + HB_SOUTH + PeakWD,05/02/2018,GUADG_CCU1,HB_SOUTH,PeakWD,06/01/2018,-2.1694,-0.05,2018.JUN
HB_HOUSTON + LZ_HOUSTON + Off-peak,05/02/2018,HB_HOUSTON,LZ_HOUSTON,Off-peak,06/01/2018,-0.0304,0.03,2018.JUN
HB_HOUSTON + LZ_HOUSTON + PeakWD,05/02/2018,HB_HOUSTON,LZ_HOUSTON,PeakWD,06/01/2018,-0.0011,0.6,2018.JUN
HB_HOUSTON + LZ_HOUSTON + PeakWE,05/02/2018,HB_HOUSTON,LZ_HOUSTON,PeakWE,06/01/2018,-0.0441,0.42,2018.JUN
HB_NORTH + HB_HOUSTON + Off-peak,05/02/2018,HB_NORTH,HB_HOUSTON,Off-peak,06/01/2018,-0.2599,1.35,2018.JUN
HB_NORTH + HB_HOUSTON + PeakWD,05/02/2018,HB_NORTH,HB_HOUSTON,PeakWD,06/01/2018,-1.0196,2.97,2018.JUN
HB_NORTH + HB_HOUSTON + PeakWE,05/02/2018,HB_NORTH,HB_HOUSTON,PeakWE,06/01/2018,-0.7424,3.5,2018.JUN
HB_NORTH + HB_SOUTH + Off-peak,05/02/2018,HB_NORTH,HB_SOUTH,Off-peak,06/01/2018,-0.3909,0.74,2018.JUN
HB_NORTH + HB_SOUTH + PeakWD,05/02/2018,HB_NORTH,HB_SOUTH,PeakWD,06/01/2018,-0.8266,2.1,2018.JUN
HB_NORTH + HB_SOUTH + PeakWE,05/02/2018,HB_NORTH,HB_SOUTH,PeakWE,06/01/2018,-0.3395,1.92,2018.JUN
HB_NORTH + LZ_NORTH + Off-peak,05/02/2018,HB_NORTH,LZ_NORTH,Off-peak,06/01/2018,-0.1426,0.2,2018.JUN
HB_NORTH + LZ_NORTH + PeakWD,05/02/2018,HB_NORTH,LZ_NORTH,PeakWD,06/01/2018,0.0485,1.03,2018.JUN
HB_NORTH + LZ_NORTH + PeakWE,05/02/2018,HB_NORTH,LZ_NORTH,PeakWE,06/01/2018,0.0018,0.85,2018.JUN
HB_SOUTH + HB_NORTH + Off-peak,05/02/2018,HB_SOUTH,HB_NORTH,Off-peak,06/01/2018,-1.9389,-0.74,2018.JUN
HB_SOUTH + HB_NORTH + PeakWD,05/02/2018,HB_SOUTH,HB_NORTH,PeakWD,06/01/2018,-5.9678,-2.1,2018.JUN
HB_SOUTH + HB_NORTH + PeakWE,05/02/2018,HB_SOUTH,HB_NORTH,PeakWE,06/01/2018,-5.8944,-1.92,2018.JUN
HB_SOUTH + HB_WEST + PeakWD,05/02/2018,HB_SOUTH,HB_WEST,PeakWD,06/01/2018,-8.0597,-2.94,2018.JUN
HB_SOUTH + LZ_LCRA + PeakWD,05/02/2018,HB_SOUTH,LZ_LCRA,PeakWD,06/01/2018,-1.9213,-0.71,2018.JUN
HB_SOUTH + LZ_SOUTH + Off-peak,05/02/2018,HB_SOUTH,LZ_SOUTH,Off-peak,06/01/2018,-0.1574,0.65,2018.JUN
HB_SOUTH + LZ_SOUTH + PeakWD,05/02/2018,HB_SOUTH,LZ_SOUTH,PeakWD,06/01/2018,0.5325,5.28,2018.JUN
HB_SOUTH + LZ_SOUTH + PeakWE,05/02/2018,HB_SOUTH,LZ_SOUTH,PeakWE,06/01/2018,-0.1571,3.27,2018.JUN
HB_WEST + HB_NORTH + Off-peak,05/02/2018,HB_WEST,HB_NORTH,Off-peak,06/01/2018,-0.0563,0.8007,2018.JUN
HB_WEST + HB_NORTH + PeakWD,05/02/2018,HB_WEST,HB_NORTH,PeakWD,06/01/2018,-0.5545,0.84,2018.JUN
HB_WEST + HB_NORTH + PeakWE,05/02/2018,HB_WEST,HB_NORTH,PeakWE,06/01/2018,-0.8244,0.65,2018.JUN
HB_WEST + LZ_WEST + Off-peak,05/02/2018,HB_WEST,LZ_WEST,Off-peak,06/01/2018,-0.0288,0.1755,2018.JUN
HB_WEST + LZ_WEST + PeakWD,05/02/2018,HB_WEST,LZ_WEST,PeakWD,06/01/2018,0.0663,0.91,2018.JUN
HB_WEST + LZ_WEST + PeakWE,05/02/2018,HB_WEST,LZ_WEST,PeakWE,06/01/2018,-0.036,0.5,2018.JUN
PSG_PSG_GT2 + HB_HOUSTON + PeakWD,05/02/2018,PSG_PSG_GT2,HB_HOUSTON,PeakWD,06/01/2018,-5.7325,-0.5,2018.JUN
JACKCNTY_STG + HB_NORTH + PeakWE,11/28/2018,JACKCNTY_STG,HB_NORTH,PeakWE,01/01/2019,-1.4565,,2019.JAN
HB_SOUTH + HB_NORTH + PeakWE,11/28/2018,HB_SOUTH,HB_NORTH,PeakWE,01/01/2019,-5.8944,,2019.JAN
BOSQ_BSQS_34 + HB_NORTH + PeakWE,11/28/2018,BOSQ_BSQS_34,HB_NORTH,PeakWE,01/01/2019,-1.7462,,2019.JAN
BOSQ_BSQSU_5 + HB_NORTH + PeakWE,11/28/2018,BOSQ_BSQSU_5,HB_NORTH,PeakWE,01/01/2019,-1.4253,,2019.JAN
NED_NEDIN_G3 + HB_SOUTH + Off-peak,11/28/2018,NED_NEDIN_G3,HB_SOUTH,Off-peak,01/01/2019,-2.1407,,2019.JAN
NED_NEDIN_G1 + HB_SOUTH + Off-peak,11/28/2018,NED_NEDIN_G1,HB_SOUTH,Off-peak,01/01/2019,-2.1407,,2019.JAN
JACKCNTY_STG + HB_NORTH + Off-peak,11/28/2018,JACKCNTY_STG,HB_NORTH,Off-peak,01/01/2019,-0.6376,,2019.JAN
HB_SOUTH + HB_NORTH + Off-peak,11/28/2018,HB_SOUTH,HB_NORTH,Off-peak,01/01/2019,-1.9389,,2019.JAN
FREC_1_CCU + HB_NORTH + Off-peak,11/28/2018,FREC_1_CCU,HB_NORTH,Off-peak,01/01/2019,-0.5824,,2019.JAN
BOSQ_BSQS_34 + HB_NORTH + Off-peak,11/28/2018,BOSQ_BSQS_34,HB_NORTH,Off-peak,01/01/2019,-0.9096,,2019.JAN
HB_NORTH + HB_SOUTH + PeakWE,11/28/2018,HB_NORTH,HB_SOUTH,PeakWE,01/01/2019,-0.8942,0.8029,2019.JAN
DUKE_GST1CCU + HB_SOUTH + PeakWE,11/28/2018,DUKE_GST1CCU,HB_SOUTH,PeakWE,01/01/2019,-11.2421,-8.3532,2019.JAN
HB_WEST + LZ_WEST + PeakWE,11/28/2018,HB_WEST,LZ_WEST,PeakWE,01/01/2019,-0.036,1.4131,2019.JAN
HB_WEST + HB_NORTH + PeakWD,11/28/2018,HB_WEST,HB_NORTH,PeakWD,01/01/2019,-0.5545,2.0,2019.JAN
HB_SOUTH + HB_NORTH + PeakWD,11/28/2018,HB_SOUTH,HB_NORTH,PeakWD,01/01/2019,-5.9678,-0.7617,2019.JAN
FREC_2_CCU + HB_NORTH + PeakWD,11/28/2018,FREC_2_CCU,HB_NORTH,PeakWD,01/01/2019,-1.7628,-0.2738,2019.JAN
FREC_1_CCU + HB_NORTH + PeakWD,11/28/2018,FREC_1_CCU,HB_NORTH,PeakWD,01/01/2019,-0.7527,-0.1853,2019.JAN
HB_SOUTH + LZ_SOUTH + Off-peak,11/28/2018,HB_SOUTH,LZ_SOUTH,Off-peak,01/01/2019,-0.1574,1.5459,2019.JAN
HB_NORTH + LZ_NORTH + Off-peak,11/28/2018,HB_NORTH,LZ_NORTH,Off-peak,01/01/2019,-0.1426,0.2747,2019.JAN
HB_SOUTH + LZ_LCRA + Off-peak,11/28/2018,HB_SOUTH,LZ_LCRA,Off-peak,01/01/2019,-1.4338,-0.3289,2019.JAN
HB_HOUSTON + LZ_HOUSTON + Off-peak,11/28/2018,HB_HOUSTON,LZ_HOUSTON,Off-peak,01/01/2019,-0.0304,0.1901,2019.JAN
HB_WEST + LZ_WEST + Off-peak,11/28/2018,HB_WEST,LZ_WEST,Off-peak,01/01/2019,-0.0213,1.0,2019.JAN
SAN_SANMIGG1 + HB_SOUTH + PeakWD,11/28/2018,SAN_SANMIGG1,HB_SOUTH,PeakWD,01/01/2019,-2.9934,,2019.JAN
NED_NEDIN_G3 + HB_SOUTH + PeakWD,11/28/2018,NED_NEDIN_G3,HB_SOUTH,PeakWD,01/01/2019,-12.2716,,2019.JAN
DUKE_GST1CCU + HB_SOUTH + PeakWD,11/28/2018,DUKE_GST1CCU,HB_SOUTH,PeakWD,01/01/2019,-12.324,,2019.JAN
WND_WHITNEY + HB_NORTH + PeakWD,11/28/2018,WND_WHITNEY,HB_NORTH,PeakWD,01/01/2019,-1.5645,,2019.JAN
JACKCNTY_STG + HB_NORTH + PeakWD,11/28/2018,JACKCNTY_STG,HB_NORTH,PeakWD,01/01/2019,-2.1379,,2019.JAN
BOSQ_BSQS_34 + HB_NORTH + PeakWD,11/28/2018,BOSQ_BSQS_34,HB_NORTH,PeakWD,01/01/2019,-1.2193,,2019.JAN
BOSQ_BSQSU_5 + HB_NORTH + PeakWD,11/28/2018,BOSQ_BSQSU_5,HB_NORTH,PeakWD,01/01/2019,-0.8172,,2019.JAN
HB_SOUTH + LZ_SOUTH + PeakWE,11/28/2018,HB_SOUTH,LZ_SOUTH,PeakWE,01/01/2019,-0.1571,2.8861,2019.JAN
HB_NORTH + LZ_NORTH + PeakWE,11/28/2018,HB_NORTH,LZ_NORTH,PeakWE,01/01/2019,0.0018,0.6354,2019.JAN
HB_SOUTH + LZ_LCRA + PeakWE,11/28/2018,HB_SOUTH,LZ_LCRA,PeakWE,01/01/2019,-1.8089,-0.8729,2019.JAN
HB_HOUSTON + LZ_HOUSTON + PeakWE,11/28/2018,HB_HOUSTON,LZ_HOUSTON,PeakWE,01/01/2019,-0.0441,0.3792,2019.JAN
HB_NORTH + HB_SOUTH + PeakWD,11/28/2018,HB_NORTH,HB_SOUTH,PeakWD,01/01/2019,-3.7093,1.1707,2019.JAN
PSG_PSG_GT2 + HB_HOUSTON + PeakWD,11/28/2018,PSG_PSG_GT2,HB_HOUSTON,PeakWD,01/01/2019,-5.7325,-0.5687,2019.JAN
HB_SOUTH + HB_HOUSTON + PeakWD,11/28/2018,HB_SOUTH,HB_HOUSTON,PeakWD,01/01/2019,-2.6531,0.53,2019.JAN
HB_NORTH + HB_HOUSTON + PeakWD,11/28/2018,HB_NORTH,HB_HOUSTON,PeakWD,01/01/2019,-3.1556,0.2168,2019.JAN
