Path,Sourcename,Sinkname,PEAKTYPE,HEDGETYPE,Period,DA congestion,RT LMP,Seq6,Seq5,Seq4,Seq3,Seq2,Seq1,Monthly Auction,Monthly Auction PnL,Seq1 PnL,Seq2 PnL,Seq3 PnL,Seq4 PnL,Seq5 PnL,Seq6 PnL
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,24HR,Obligation,2024-05-01,0.0,0.0,0.2588,0.7058279569892473,-1.6288376344086024,-0.13420322580645164,-0.9434236559139785,-0.677258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOSQ_BSQSU_5+HB_NORTH,BOSQ_BSQSU_5,HB_NORTH,24HR,Option,2024-05-01,0.0,0.0,0.9485440860215054,1.5636311827956988,2.916003225806452,1.0484602150537634,0.38830645161290317,0.6793978494623656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOSQ_BSQS_12+HB_NORTH,BOSQ_BSQS_12,HB_NORTH,24HR,Obligation,2024-05-01,0.0,0.0,0.2588,0.7058279569892473,-1.6288376344086024,-0.13420322580645164,-0.9434236559139785,-0.677258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOSQ_BSQS_12+HB_NORTH,BOSQ_BSQS_12,HB_NORTH,24HR,Option,2024-05-01,0.0,0.0,0.9552387096774193,1.2779580645161293,2.3357709677419356,1.0883440860215055,0.38830645161290317,0.6793978494623656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOSQ_BSQS_34+HB_NORTH,BOSQ_BSQS_34,HB_NORTH,24HR,Obligation,2024-05-01,0.0,0.0,0.24973010752688174,0.7559236559139785,-2.900202150537634,-0.2863182795698925,-1.1876612903225807,-0.49773118279569895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOSQ_BSQS_34+HB_NORTH,BOSQ_BSQS_34,HB_NORTH,24HR,Option,2024-05-01,0.0,0.0,1.1595494623655913,1.7675161290322583,2.82262688172043,1.2653419354838709,0.36935161290322577,0.6844709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,24HR,Obligation,2024-05-01,0.0,0.0,-0.2889333333333333,-0.6387537634408601,-0.8144021505376343,-2.7599967741935485,-2.4367666666666667,-2.606821505376344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,24HR,Option,2024-05-01,0.0,0.0,0.5018430107526881,0.3748967741935484,1.1003333333333332,0.08224516129032258,0.08918602150537634,0.07395268817204301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTE_PUN2+HB_HOUSTON,BTE_PUN2,HB_HOUSTON,24HR,Obligation,2024-05-01,0.0,0.0,-0.2889333333333333,-0.6387537634408601,-0.8144021505376343,-2.7599967741935485,-2.4367666666666667,-2.606821505376344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTE_PUN2+HB_HOUSTON,BTE_PUN2,HB_HOUSTON,24HR,Option,2024-05-01,0.0,0.0,0.4701677419354839,0.1500817204301075,0.4768032258064517,0.08267849462365591,0.10234623655913978,0.0762978494623656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVE_UNIT1+HB_HOUSTON,BVE_UNIT1,HB_HOUSTON,24HR,Obligation,2024-05-01,0.0,0.0,1.3048322580645162,1.6170311827956987,2.0861182795698925,2.285223655913978,2.089389247311828,2.132068817204301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
