Name,Limit Type,Date,HourEnding,Original,Replaced Value
VALEXP,RT Limit,2023-04-29,3,-4889.266667,116.0
VALEXP,RT Limit,2023-05-01,10,-27909.094727,132.55416200000002
VALEXP,RT Limit,2023-05-01,11,-47937.894531,132.55416200000002
VALEXP,RT Limit,2023-05-01,12,-27909.094727,132.55416200000002
VALEXP,RT Limit,2023-05-01,13,-7880.294923,132.55416200000002
VALEXP,RT Limit,2023-05-01,14,-43932.13457,132.55416200000002
VALEXP,RT Limit,2023-05-01,15,-47937.894531,132.55416200000002
VALEXP,RT Limit,2023-05-01,16,-47937.894531,132.55416200000002
VALEXP,RT Limit,2023-05-01,17,-47937.894531,132.55416200000002
VALEXP,RT Limit,2023-05-01,18,-11894.875716,132.55416200000002
VALEXP,RT Limit,2023-05-01,19,-31186.25,132.55416200000002
VALEXP,RT Limit,2023-05-01,20,-6150.25,132.55416200000002
VALEXP,RT Limit,2023-05-01,21,-6150.25,132.55416200000002
VALEXP,RT Limit,2023-05-01,22,-37445.25,132.55416200000002
VALEXP,RT Limit,2023-05-01,23,-24927.25,132.55416200000002
VALEXP,RT Limit,2023-05-01,24,-37445.25,132.55416200000002
VALEXP,RT Limit,2023-05-02,1,-37445.25,132.55416200000002
VALEXP,RT Limit,2023-05-02,2,-28056.75,132.55416200000002
VALEXP,RT Limit,2023-05-02,3,-9279.75,132.55416200000002
VALEXP,RT Limit,2023-05-02,4,-3020.75,132.55416200000002
VALEXP,RT Limit,2023-05-02,6,-31186.25,108.75
VALEXP,RT Limit,2023-05-02,7,-37445.25,108.75
VALEXP,RT Limit,2023-05-02,8,-37445.25,108.75
VALEXP,RT Limit,2023-05-02,9,-37445.25,108.75
VALEXP,RT Limit,2023-05-02,10,-37445.25,108.75
VALEXP,RT Limit,2023-05-02,11,-37445.25,108.75
VALEXP,RT Limit,2023-05-02,12,-37445.25,108.75
VALEXP,RT Limit,2023-05-02,13,-34315.75,108.75
VALEXP,RT Limit,2023-05-02,14,-18667.645833,108.75
VALEXP,RT Limit,2023-05-02,16,-31186.25,108.75
VALEXP,RT Limit,2023-05-02,17,-37445.25,108.75
VALEXP,RT Limit,2023-05-02,18,-15538.75,108.75
VALEXP,RT Limit,2023-05-02,20,-15538.75,102.818182
VALEXP,RT Limit,2023-05-02,21,-37445.25,102.818182
VALEXP,RT Limit,2023-05-02,22,-37445.25,102.818182
VALEXP,RT Limit,2023-05-02,23,-37445.25,102.818182
VALEXP,RT Limit,2023-05-02,24,-37445.25,102.818182
VALEXP,RT Limit,2023-05-03,1,-28056.75,102.818182
