DeliveryDate,Year,Month,Day,HourEnding,RUCTimeStamp,ResourceName,ClearedCommit,ClearedDecommit,ReasonForCommitmentOrDecommitment,StartType,ManOverrideFlag,ReasonForManuallyOverriding,DSTFLag
12/11/2018,2018,12,11,11,2018-12-11 09:03:01, DUKE_CC1_1, Y, N, XNED258, , ,,N
12/11/2018,2018,12,11,12,2018-12-11 09:03:01, DUKE_CC1_1, Y, N, XNED258, , ,,N
01/22/2019,2019,1,22,10,2019-01-22 08:03:01, GRANDVW1_GV1B, Y, N, Short start, , ,,N
02/10/2019,2019,2,10,9,2019-02-10 06:03:01, NUECES_B_CC1_1, Y, N, XWHI58, HOT, C,XWHI58,N
02/10/2019,2019,2,10,10,2019-02-10 06:03:01, NUECES_B_CC1_1, Y, N, XWHI58, , C,XWHI58,N
02/10/2019,2019,2,10,11,2019-02-10 06:03:01, NUECES_B_CC1_1, Y, N, XWHI58, , C,XWHI58,N
02/10/2019,2019,2,10,12,2019-02-10 06:03:01, NUECES_B_CC1_1, Y, N, XWHI58, , C,XWHI58,N
02/10/2019,2019,2,10,13,2019-02-10 06:03:01, NUECES_B_CC1_1, Y, N, XWHI58, , C,XWHI58,N
02/10/2019,2019,2,10,14,2019-02-10 06:03:01, NUECES_B_CC1_1, Y, N, XWHI58, , C,XWHI58,N
02/10/2019,2019,2,10,15,2019-02-10 06:03:01, NUECES_B_CC1_1, Y, N, XWHI58, , C,XWHI58,N
02/10/2019,2019,2,10,16,2019-02-10 06:03:01, NUECES_B_CC1_1, Y, N, XWHI58, , C,XWHI58,N
02/10/2019,2019,2,10,17,2019-02-10 14:03:01, NUECES_B_CC1_1, Y, N, XWHI58, , C,XWHI58,N
02/10/2019,2019,2,10,18,2019-02-10 14:03:01, NUECES_B_CC1_1, Y, N, XWHI58, , C,XWHI58,N
02/10/2019,2019,2,10,19,2019-02-10 14:03:01, NUECES_B_CC1_1, Y, N, XWHI58, , C,XWHI58,N
02/19/2019,2019,2,19,19,2019-02-19 09:03:01, SCSES_UNIT2, Y, N, DENTSCS5, COLD, ,,N
02/19/2019,2019,2,19,20,2019-02-19 09:03:01, SCSES_UNIT2, Y, N, DENTSCS5, , ,,N
02/19/2019,2019,2,19,21,2019-02-19 09:03:01, SCSES_UNIT2, Y, N, DENTSCS5, , ,,N
03/30/2019,2019,3,30,11,2019-03-30 02:03:01, NUECES_B_CC1_1, Y, N, xwhi58, INTER, C,xwhi58,N
03/30/2019,2019,3,30,12,2019-03-30 02:03:01, NUECES_B_CC1_1, Y, N, xwhi58, , C,xwhi58,N
03/30/2019,2019,3,30,13,2019-03-30 02:03:01, NUECES_B_CC1_1, Y, N, xwhi58, , C,xwhi58,N
03/30/2019,2019,3,30,14,2019-03-30 02:03:01, NUECES_B_CC1_1, Y, N, xwhi58, , C,xwhi58,N
03/30/2019,2019,3,30,15,2019-03-30 02:03:01, NUECES_B_CC1_1, Y, N, xwhi58, , C,xwhi58,N
03/30/2019,2019,3,30,16,2019-03-30 02:03:01, NUECES_B_CC1_1, Y, N, xwhi58, , C,xwhi58,N
03/30/2019,2019,3,30,17,2019-03-30 02:03:01, NUECES_B_CC1_1, Y, N, xwhi58, , C,xwhi58,N
03/30/2019,2019,3,30,18,2019-03-30 02:03:01, NUECES_B_CC1_1, Y, N, xwhi58, , C,xwhi58,N
04/02/2019,2019,4,2,8,2019-04-02 05:03:01, DUKE_CC1_1, Y, N, XNED258, HOT, ,,N
04/02/2019,2019,4,2,9,2019-04-02 05:03:01, DUKE_CC1_1, Y, N, XNED258, , ,,N
04/02/2019,2019,4,2,10,2019-04-02 05:03:01, DUKE_CC1_1, Y, N, XNED258, , ,,N
04/02/2019,2019,4,2,11,2019-04-02 05:03:01, DUKE_CC1_1, Y, N, XNED258, , ,,N
04/02/2019,2019,4,2,12,2019-04-02 05:03:01, DUKE_CC1_1, Y, N, XNED258, , ,,N
04/02/2019,2019,4,2,13,2019-04-02 05:03:01, DUKE_CC1_1, Y, N, XNED258, , ,,N
04/10/2019,2019,4,10,15,2019-04-10 09:03:02, MCSES_UNIT7, Y, N, SLIGVE25, HOT, ,,N
04/10/2019,2019,4,10,16,2019-04-10 09:03:02, MCSES_UNIT7, Y, N, SLIGVE25, , ,,N
04/10/2019,2019,4,10,17,2019-04-10 09:03:02, MCSES_UNIT7, Y, N, SLIGVE25, , ,,N
04/10/2019,2019,4,10,18,2019-04-10 09:03:02, MCSES_UNIT7, Y, N, SLIGVE25, , ,,N
04/10/2019,2019,4,10,19,2019-04-10 09:03:02, MCSES_UNIT7, Y, N, SLIGVE25, , ,,N
04/10/2019,2019,4,10,20,2019-04-10 09:03:02, MCSES_UNIT7, Y, N, SLIGVE25, , ,,N
04/10/2019,2019,4,10,21,2019-04-10 09:03:02, MCSES_UNIT7, Y, N, SLIGVE25, , ,,N
04/10/2019,2019,4,10,22,2019-04-10 09:03:02, MCSES_UNIT7, Y, N, SLIGVE25, , ,,N
04/11/2019,2019,4,11,13,2019-04-11 07:03:01, MCSES_UNIT7, Y, N, SBRTVEN5, HOT, C,SBRTVEN5,N
04/11/2019,2019,4,11,14,2019-04-11 07:03:01, MCSES_UNIT7, Y, N, SBRTVEN5, , C,SBRTVEN5,N
