Generator Name , 06/16/2023 Status , 03/14/2019 Status ,Description
CABEZON_WIND1,In-Service,Out-Of-Service,Changed
PANDA_S_SHER1CT1,In-Service,Out-Of-Service,Changed
CABEZON_WIND2,In-Service,Out-Of-Service,Changed
MIRAGE_GEN_0001,In-Service,Out-Of-Service,Changed
PANDA_S_SHER1CT2,In-Service,Out-Of-Service,Changed
AMOCOOIL_AMOCO_S2,Out-Of-Service,In-Service,Changed
WAP_WAP_G8,,In-Service,Missing-In-Today
FORMOSA_FORMOSG4,,In-Service,Missing-In-Today
OKLA_OKLA_G1,,In-Service,Missing-In-Today
BRAZ_WND_WND1,,In-Service,Missing-In-Today
DC_EGPS_DC_EGPSG1,,In-Service,Missing-In-Today
DECKER_DPG1,,In-Service,Missing-In-Today
CHE_GT2,,In-Service,Missing-In-Today
BYU_BYU_G2,,In-Service,Missing-In-Today
OCI_ALM1_ASTRO1,,In-Service,Missing-In-Today
CANYHY_CANYHYG2,,In-Service,Missing-In-Today
RAYBURN_RAYBURG2,,In-Service,Missing-In-Today
PC_SOUTH_PANTHER3,,In-Service,Missing-In-Today
FORMOSA_FORMOSG9,,In-Service,Missing-In-Today
INDNENR_INDNENR_2,,In-Service,Missing-In-Today
LV1_LV1B,,In-Service,Missing-In-Today
BRISCOE_WIND,,In-Service,Missing-In-Today
CANYHY_CANYHYG1,,In-Service,Missing-In-Today
TGF_TGFGT_1,,In-Service,Missing-In-Today
MCDLD_SBW1,,In-Service,Missing-In-Today
DC_EGPS_BL_EAGLE,,In-Service,Missing-In-Today
KEO_KEO_SM1,,In-Service,Missing-In-Today
ENAS_ENA1,,In-Service,Missing-In-Today
SWEETWN4_WND5,,In-Service,Missing-In-Today
INDNENR_INDNENR,,In-Service,Missing-In-Today
BRAZ_WND_WND2,,In-Service,Missing-In-Today
OLINGR_OLING_1,,In-Service,Missing-In-Today
WAYMARK_UNIT1,,In-Service,Missing-In-Today
SW_MESA_SW_MESA,,In-Service,Missing-In-Today
INDNENR_UNIT_1B,,In-Service,Missing-In-Today
GIBCRK_GIB_CRG1,,In-Service,Missing-In-Today
HHOLLOW4_WND1,,In-Service,Missing-In-Today
INDNENR_UNIT_2B,,In-Service,Missing-In-Today
RAYBURN_RAYBURG1,,In-Service,Missing-In-Today
PHILLWND_UNIT1,In-Service,,Missing-From-Yesterday
PISGAH_SOLAR2,In-Service,,Missing-From-Yesterday
AVIATOR_UNIT2,In-Service,,Missing-From-Yesterday
NEDIN_NEDIN_G3,In-Service,,Missing-From-Yesterday
FOARDCTY_UNIT1,In-Service,,Missing-From-Yesterday
SAGEDRAW_UNIT2,In-Service,,Missing-From-Yesterday
TXCTY_CTC,In-Service,,Missing-From-Yesterday
TI_SOLAR_UNIT1,In-Service,,Missing-From-Yesterday
VENADO_UNIT1,In-Service,,Missing-From-Yesterday
VICTPORT_CTG01,In-Service,,Missing-From-Yesterday
TAYGETE2_UNIT1,In-Service,,Missing-From-Yesterday
FRONT_EC_CT2,Out-Of-Service,,Missing-From-Yesterday
FLVABES1_FLATU1,In-Service,,Missing-From-Yesterday
BLACKJAK_UNIT1,In-Service,,Missing-From-Yesterday
GAMBIT_BESS1,In-Service,,Missing-From-Yesterday
TOPAZ_UNIT2,In-Service,,Missing-From-Yesterday
WH_WIND_UNIT2,In-Service,,Missing-From-Yesterday
NCO_ESS1,In-Service,,Missing-From-Yesterday
AGUAYO_UNIT1,In-Service,,Missing-From-Yesterday
DEWOLF_UNIT1,In-Service,,Missing-From-Yesterday
NOBLESLR_BESS1,In-Service,,Missing-From-Yesterday
RIPPEY_UNIT1,In-Service,,Missing-From-Yesterday
LMAJADAS_UNIT3,In-Service,,Missing-From-Yesterday
WILDWIND_UNIT4,In-Service,,Missing-From-Yesterday
SPTX12B_BES1,In-Service,,Missing-From-Yesterday
