Branch Name,03/14/2019  RATEA,06/16/2023 RATEA,Percent Change
ADKBM_24_A                      ,456.82,374.4,19.831091648420397
ADKTAN24_A                      ,456.82,374.4,19.831091648420397
EWSWEB53_A                      ,110.42,90.2,20.15751171368757
EWSEXW53_A                      ,110.42,90.2,20.15751171368757
SLTDM_SHRPSH_1                  ,40.0,107.0,91.15646258503402
SCRSH_92_A                      ,441.96,363.4,19.509287771928086
ED_SCR92_A                      ,441.96,363.4,19.509287771928086
G69_CC1_1                       ,29.0,62.0,72.52747252747253
MREVL_48_A                      ,528.0,837.2,45.29739232346909
CTZMRE48_A                      ,528.0,837.2,45.29739232346909
LEVOYS11_A                      ,419.0,956.0,78.10909090909091
LEVOYS15_A                      ,419.0,956.0,78.10909090909091
CHSKG_94_A                      ,405.82,329.6,20.7282913165266
HUDMSN04_A                      ,239.0,286.0,17.904761904761905
138_AMO_MPL_1                   ,717.0,10.0,194.49793672627237
CTYJOR86_A                      ,539.68,837.2,43.216547556795085
BENJOR86_A                      ,506.54,837.2,49.214877878160955
BNTMIS16_A                      ,45.14,37.6,18.22576746434614
BNTMIN16_A                      ,45.14,37.6,18.22576746434614
ALKSDY96_A                      ,382.68,837.2,74.51880512837327
69_FMF_OLD_1                    ,143.0,191.0,28.74251497005988
BUNKN_08_A                      ,443.4,837.2,61.502420740278005
LP_SDY96_A                      ,382.68,311.8,20.412394885381865
DOWJCK18_A                      ,1450.0,2987.0,69.28104575163398
CTZJCK48_A                      ,528.0,837.2,45.29739232346909
138_FWP_MNL_1                   ,210.0,383.0,58.34738617200674
138_ALV_MNL_1                   ,210.0,383.0,58.34738617200674
PATTID06_A                      ,381.14,311.8,20.013276762778876
PATTKR06_A                      ,381.14,311.8,20.013276762778876
CTYDAL86_A                      ,539.68,837.2,43.216547556795085
BW_CWS94_A                      ,440.0,363.4,19.06895693303461
BARWI_73_A                      ,469.4,385.4,19.65372016846046
ME_WI_73_A                      ,469.4,385.4,19.65372016846046
ED_WEB92_A                      ,441.96,363.4,19.509287771928086
DSNHB_94_A                      ,455.0,374.4,19.435736677115994
DSNKG_94_A                      ,456.82,374.4,19.831091648420397
DAVSB_21_A                      ,382.68,311.8,20.412394885381865
DE_SB_21_A                      ,382.68,311.8,20.412394885381865
GG_TAP91_1                      ,180.0,286.0,45.493562231759654
GG_KN_06_A                      ,382.68,311.8,20.412394885381865
BNSMLR88_A                      ,382.68,311.8,20.412394885381865
BNSRH_88_A                      ,383.68,311.8,20.670615977454418
BT_MLR88_A                      ,382.68,311.8,20.412394885381865
G138_10A_1                      ,287.0,383.0,28.65671641791045
SA_TAN24_A                      ,456.82,374.4,19.831091648420397
VANDSW_VANDSUB_1                ,478.0,191.0,85.79970104633782
VICTPORT_TL_1                   ,286.83,216.0,28.172543404331478
AE_WML26_A                      ,252.84,386.6,41.83660703115226
RZ_WML26_A                      ,382.68,311.8,20.412394885381865
LK_THW29_A                      ,110.42,90.2,20.15751171368757
NB_THW97_A                      ,2390.0,1792.0,28.598756575801055
FR_THW81_A                      ,443.4,577.0,26.185809486475897
DT_GS_32_A                      ,117.0,143.0,20.0
