Branch Name,03/14/2019  RATEB,06/16/2023 RATEB,Percent Change
ADKBM_09_A                      ,764.0,892.2,15.481222074628672
PR_PRS33_A                      ,59.0,47.8,20.97378277153559
SLTDM_SHRPSH_1                  ,45.0,119.0,90.2439024390244
G69_CC1_1                       ,29.0,62.0,72.52747252747253
LANMB_86_A                      ,525.0,892.2,51.82049110922947
MREVL_48_A                      ,562.0,892.2,45.41328565534315
CTZMRE48_A                      ,562.0,892.2,45.41328565534315
LEVOYS11_A                      ,419.0,956.0,78.10909090909091
LEVOYS15_A                      ,419.0,956.0,78.10909090909091
138_AMO_MPL_1                   ,717.0,10.0,194.49793672627237
CTYJOR86_A                      ,652.26,892.2,31.071053960607596
BENJOR86_A                      ,610.26,892.2,37.53045006189849
ALKSDY96_A                      ,443.4,892.2,67.20575022461817
69_FMF_OLD_1                    ,143.0,191.0,28.74251497005988
BUNKN_08_A                      ,541.98,892.2,48.839057858846175
DOWJCK18_A                      ,1450.0,3286.0,77.53378378378379
JCKVL_02_A                      ,1051.0,892.2,16.34417455743104
CTZJCK48_A                      ,562.0,892.2,45.41328565534315
138_FWP_MNL_1                   ,210.0,383.0,58.34738617200674
138_ALV_MNL_1                   ,210.0,383.0,58.34738617200674
CTYDAL86_A                      ,652.26,892.2,31.071053960607596
ED_TAP92_1                      ,234.0,191.0,20.235294117647058
GG_TAP91_1                      ,220.0,315.0,35.51401869158878
QNMWKR85_A                      ,478.0,563.0,16.330451488952928
G138_10A_1                      ,287.0,383.0,28.65671641791045
VANDSW_VANDSUB_1                ,478.0,191.0,85.79970104633782
VICTPORT_TL_1                   ,286.83,216.0,28.172543404331478
AE_WML26_A                      ,304.7,499.4,48.42681258549932
THWTHW81_1                      ,764.0,893.0,15.570307785153892
FR_THW81_A                      ,541.98,762.0,33.74591634841025
828T548_1                       ,53.4,44.0,19.301848049281308
ES_UN_91_A                      ,525.0,762.0,36.82983682983683
CBYCVN86_A                      ,478.0,682.0,35.172413793103445
CVCSDN-1_A                      ,0.0,1450.0,200.0
CVCSDN-3_A                      ,0.0,1450.0,200.0
CVCSDN-2_A                      ,0.0,1450.0,200.0
BSFHN_02_A                      ,252.84,478.0,61.6167697444037
BI_SF_09_A                      ,541.98,892.2,48.839057858846175
GN_TC_37_A                      ,443.4,525.0,16.85254027261463
GE_TAP76_1                      ,280.0,525.0,60.86956521739131
JFSPSG-3_A                      ,0.0,877.0,200.0
JFSPSG-1_A                      ,0.0,877.0,200.0
JFSPSG-2_A                      ,0.0,877.0,200.0
JFSPSG-4_A                      ,0.0,877.0,200.0
G138_09_1                       ,253.56,385.4,41.267058970827584
CO_PL_84_A                      ,438.0,286.0,41.988950276243095
