Branch Name,03/14/2019 Status,06/16/2023 Status,Description
WAP_MT8                         ,In-Service,Out-Of-Service,Changed
KR_AT1H                         ,In-Service,Out-Of-Service,Changed
KR_AT1                          ,In-Service,Out-Of-Service,Changed
KR_AT1T                         ,In-Service,Out-Of-Service,Changed
FORMOSA_TR04                    ,In-Service,Out-Of-Service,Changed
FORMOSA_TR08                    ,In-Service,Out-Of-Service,Changed
BYU_UXF2                        ,In-Service,Out-Of-Service,Changed
TGF_XT1                         ,In-Service,Out-Of-Service,Changed
CHE_SUT2                        ,In-Service,Out-Of-Service,Changed
CANYHY_T1                       ,In-Service,Out-Of-Service,Changed
BRAZ_WND_MR1                    ,In-Service,Out-Of-Service,Changed
BRAZ_WND_MR2                    ,In-Service,Out-Of-Service,Changed
HHOLLOW4_TX2E                   ,In-Service,Out-Of-Service,Changed
CMBTP_FMR1                      ,In-Service,Out-Of-Service,Changed
TRSES_MR4H                      ,In-Service,Out-Of-Service,Changed
TRSES_MR4L                      ,In-Service,Out-Of-Service,Changed
TRSES_MR4T                      ,In-Service,Out-Of-Service,Changed
MCGPH_FMR1                      ,In-Service,Out-Of-Service,Changed
DCSES_MR1L                      ,In-Service,Out-Of-Service,Changed
DCSES_MR1H                      ,In-Service,Out-Of-Service,Changed
DCSES_MR1T                      ,In-Service,Out-Of-Service,Changed
CMTSW_FMR2                      ,In-Service,Out-Of-Service,Changed
OLINGR_AMR1                     ,In-Service,Out-Of-Service,Changed
CDCSW_FMR1                      ,In-Service,Out-Of-Service,Changed
WAYMARK_T1                      ,In-Service,Out-Of-Service,Changed
AIRPORT_T3                      ,In-Service,Out-Of-Service,Changed
GARZA_69A1                      ,In-Service,Out-Of-Service,Changed
BRISCOE_MPT                     ,In-Service,Out-Of-Service,Changed
TESLA_AUT2                      ,In-Service,Out-Of-Service,Changed
HUD_XT02                        ,Out-Of-Service,In-Service,Changed
HUD_XT03                        ,Out-Of-Service,In-Service,Changed
LEVEE_XT1                       ,Out-Of-Service,In-Service,Changed
VICTPORT_GSU1                   ,Out-Of-Service,In-Service,Changed
VICTPORT_GSU2                   ,Out-Of-Service,In-Service,Changed
NCARBIDE_69A2                   ,Out-Of-Service,In-Service,Changed
FORMOSA_TR06                    ,Out-Of-Service,In-Service,Changed
FORMOSA_2002                    ,Out-Of-Service,In-Service,Changed
DIB_MT3                         ,Out-Of-Service,In-Service,Changed
EXN_H501                        ,Out-Of-Service,In-Service,Changed
CBY_MT1                         ,Out-Of-Service,In-Service,Changed
NB_AT1                          ,Out-Of-Service,In-Service,Changed
NB_AT1H                         ,Out-Of-Service,In-Service,Changed
NB_AT1T                         ,Out-Of-Service,In-Service,Changed
TXCTY_13_1                      ,Out-Of-Service,In-Service,Changed
DOW_A3S                         ,Out-Of-Service,In-Service,Changed
DOW_A3P                         ,Out-Of-Service,In-Service,Changed
DOW_A3T                         ,Out-Of-Service,In-Service,Changed
CBEC_21T                        ,Out-Of-Service,In-Service,Changed
CBEC_25T                        ,Out-Of-Service,In-Service,Changed
CBEC_22T                        ,Out-Of-Service,In-Service,Changed
HHGT_TX2E                       ,Out-Of-Service,In-Service,Changed
GUADG_T6                        ,Out-Of-Service,In-Service,Changed
GUADG_T5                        ,Out-Of-Service,In-Service,Changed
GUADG_T3                        ,Out-Of-Service,In-Service,Changed
GUADG_T4                        ,Out-Of-Service,In-Service,Changed
KENEDSW_69A1                    ,Out-Of-Service,In-Service,Changed
BRAUNIG_20_1                    ,Out-Of-Service,In-Service,Changed
BRAUNIG_MT56                    ,Out-Of-Service,In-Service,Changed
