,,,Auction Cleared Price ($MWh),,,Calpine Max Bid Price ($MWh),,,Bid Price Difference ($MWh),
,Plant,WDPEAK,WEPEAK,OFFPEAK,WDPEAK,WEPEAK,OFFPEAK,WDPEAK,WEPEAK,OFFPEAK
0,Baytown,0.232,0.154,,0.1,0.01,,-0.13,-0.14,
1,Bosque138,0.984,0.687,0.442,0.8,0.6,0.05,-0.18,-0.09,-0.39
2,Bosque345,0.739,0.51,0.402,0.8,0.6,0.05,0.06,0.09,-0.35
3,Brazos Valley,1.061,0.78,0.277,2.0,1.5,0.1,0.94,0.72,-0.18
4,Channel138,0.181,0.121,,0.1,0.05,,-0.08,-0.07,
5,Channel345,0.173,0.108,,0.2,0.08,,0.03,-0.03,
6,Corpus Christi,10.0,9.014,4.095,10.0,10.0,2.2,0.0,0.99,-1.89
7,Deer Park,0.307,0.136,,0.3,0.1,,-0.01,-0.04,
8,Freestone1,0.458,0.288,0.342,0.4,0.25,0.01,-0.06,-0.04,-0.33
9,Freestone2,0.397,0.247,0.34,0.4,0.25,0.01,0.0,0.0,-0.33
10,Guadalupe1,0.158,0.152,0.172,0.15,0.1,0.01,-0.01,-0.05,-0.16
11,Guadalupe2,0.158,0.152,0.172,0.15,0.1,0.01,-0.01,-0.05,-0.16
12,HBH/LZH,0.455,0.318,0.176,0.42,0.3,0.1,-0.04,-0.02,-0.08
13,HBN/LZN,0.5,0.494,0.1,0.6,0.6,0.2,0.1,0.11,0.1
14,Hidalgo,16.23,15.13,9.186,17.0,16.0,4.0,0.77,0.87,-5.19
15,Magic Valley,17.86,15.796,9.217,19.0,18.0,5.5,1.14,2.2,-3.72
16,Pasadena1,0.15,0.052,0.044,0.01,0.01,0.01,-0.14,-0.04,-0.03
17,Pasadena2,0.871,0.496,0.401,1.0,0.5,0.07,0.13,0.0,-0.33
18,Texas City,0.282,0.207,,0.2,0.1,,-0.08,-0.11,
