Year,Month,Name,Limit,DeviceName,DeviceType,FlowDirection,Factor
2018,1,EASTEX,99999.0,3100 MARTINLK 3105 ELKTON_5 1,LINE,From-To,1
2018,1,EASTEX,99999.0,3100 MARTINLK 3116 MTENTRPR 1,LINE,From-To,1
2018,1,EASTEX,99999.0,3100 MARTINLK 3109 STRYKER_ 1,LINE,From-To,1
2018,1,EASTEX,99999.0,3100 MARTINLK 3102 TYLERGND 1,LINE,From-To,1
2018,1,EASTEX,99999.0,3100 MARTINLK 3103 SHAMBRGR 1,LINE,From-To,1
2018,1,PNHNDL,2997.0,60501 TESLA7A 61001 JIMTREE 1,LINE,From-To,1
2018,1,PNHNDL,2997.0,59904 COTTONW 60500 EDITHCL 1,LINE,From-To,1
2018,1,PNHNDL,2997.0,59904 COTTONW 60500 EDITHCL 2,LINE,From-To,1
2018,1,PNHNDL,2997.0,11305 DERMOTT 59904 COTTONW 1,LINE,To-From,1
2018,1,PNHNDL,2997.0,6101 RILEY7A 60501 TESLA7A 1,LINE,To-From,1
2018,1,PNHNDL,2997.0,60500 EDITHCL 60501 TESLA7A 1,LINE,To-From,1
2018,1,PNHNDL,2997.0,11305 DERMOTT 59904 COTTONW 2,LINE,To-From,1
2018,1,PNHNDL,2997.0,60500 EDITHCL 60501 TESLA7A 2,LINE,To-From,1
2018,1,N_TO_H,3730.0,44645 SNGLTN_ 44900 ZENITH_ 99,LINE,From-To,1
2018,1,N_TO_H,3730.0,44645 SNGLTN_ 44900 ZENITH_ 98,LINE,From-To,1
2018,1,N_TO_H,3730.0,44645 SNGLTN_ 46500 TOMBAL_ 74,LINE,From-To,1
2018,1,N_TO_H,3730.0,40600 ROANS__ 45972 KUYDAL7 75,LINE,From-To,1
2018,1,VALIMP,1736.0,903067 AJO7A 906696 RIOHON 1,LINE,From-To,1
2018,1,VALIMP,1736.0,5742 YTURRIAS 8302 RAYMND24 1,LINE,From-To,1
2018,1,VALIMP,1736.0,8896 RACHAL4A 88380 RGTAP4A 1,LINE,From-To,1
2018,1,VALIMP,1736.0,8455 LONHILL7 8905 NEDIN7C 1,LINE,From-To,1
2018,1,VALIMP,1736.0,8383 NEDIN7A 8574 POMELO7A 1,LINE,To-From,1
2018,1,VALIMP,1736.0,8795 ROMA_SW4 80106 FALCONS 1,LINE,To-From,1
2018,1,REDTAP,99999.0,8896 RACHAL4A 88380 RGTAP4A 1,LINE,To-From,1
2018,1,NE_LOB,99999.0,5901 MIGUEL5 80219 LOBO7A 1,LINE,To-From,1
2018,1,NE_LOB,99999.0,8383 NEDIN7A 8574 POMELO7A 1,LINE,To-From,1
2018,1,NE_LOB,99999.0,80219 LOBO7A 345 80221 LOBO4A 138 2,XFMR,From-To,1
2018,1,NE_LOB,99999.0,80219 LOBO7A 345 80221 LOBO4A 138 1,XFMR,From-To,1
2018,1,NELRIO,99999.0,85000 N_SHARP 903067 AJO7A 1,LINE,To-From,1
2018,1,NELRIO,99999.0,8902 RIOHONDO 80512 MGVLYTP 1,LINE,To-From,1
2018,2,EASTEX,99999.0,3116 MTENTRPR 3124 TRINDAD2 1,LINE,From-To,1
2018,2,EASTEX,99999.0,3116 MTENTRPR 3119 NACOGDSE 1,LINE,From-To,1
2018,2,EASTEX,99999.0,3100 MARTINLK 3105 ELKTON_5 1,LINE,From-To,1
2018,2,EASTEX,99999.0,3100 MARTINLK 3109 STRYKER_ 1,LINE,From-To,1
2018,2,EASTEX,99999.0,3100 MARTINLK 3102 TYLERGND 1,LINE,From-To,1
2018,2,EASTEX,99999.0,3100 MARTINLK 3103 SHAMBRGR 1,LINE,From-To,1
2018,2,PNHNDL,2840.0,59904 COTTONW 60500 EDITHCL 1,LINE,From-To,1
2018,2,PNHNDL,2840.0,59904 COTTONW 60500 EDITHCL 2,LINE,From-To,1
2018,2,PNHNDL,2840.0,60501 TESLA7A 61001 JIMTREE 1,LINE,From-To,1
2018,2,PNHNDL,2840.0,60500 EDITHCL 60501 TESLA7A 2,LINE,To-From,1
2018,2,PNHNDL,2840.0,60500 EDITHCL 60501 TESLA7A 1,LINE,To-From,1
2018,2,PNHNDL,2840.0,6101 RILEY7A 60501 TESLA7A 1,LINE,To-From,1
2018,2,PNHNDL,2840.0,11305 DERMOTT 59904 COTTONW 1,LINE,To-From,1
2018,2,PNHNDL,2840.0,11305 DERMOTT 59904 COTTONW 2,LINE,To-From,1
2018,2,N_TO_H,3143.0,44645 SNGLTN_ 46500 TOMBAL_ 74,LINE,From-To,1
2018,2,N_TO_H,3143.0,44645 SNGLTN_ 44900 ZENITH_ 99,LINE,From-To,1
2018,2,N_TO_H,3143.0,44645 SNGLTN_ 44900 ZENITH_ 98,LINE,From-To,1
2018,2,N_TO_H,3143.0,40600 ROANS__ 45972 KUYDAL7 75,LINE,From-To,1
2018,2,VALIMP,1541.0,5742 YTURRIAS 8302 RAYMND24 1,LINE,From-To,1
2018,2,VALIMP,1541.0,903126 AJO7A 906595 RIOHON 1,LINE,From-To,1
2018,2,VALIMP,1541.0,8896 RACHAL4A 88380 RGTAP4A 1,LINE,From-To,1
2018,2,VALIMP,1541.0,8455 LONHILL7 8905 NEDIN7C 1,LINE,From-To,1
2018,2,VALIMP,1541.0,8383 NEDIN7A 8574 POMELO7A 1,LINE,To-From,1
2018,2,VALIMP,1541.0,8795 ROMA_SW4 80106 FALCONS 1,LINE,To-From,1
2018,2,REDTAP,99999.0,8896 RACHAL4A 88380 RGTAP4A 1,LINE,To-From,1
2018,2,NE_LOB,99999.0,5901 MIGUEL5 80219 LOBO7A 1,LINE,To-From,1
2018,2,NE_LOB,99999.0,8383 NEDIN7A 8574 POMELO7A 1,LINE,To-From,1
2018,2,NE_LOB,99999.0,80219 LOBO7A 345 80221 LOBO4A 138 2,XFMR,From-To,1
2018,2,NE_LOB,99999.0,80219 LOBO7A 345 80221 LOBO4A 138 1,XFMR,From-To,1
2018,2,NELRIO,1005.0,8902 RIOHONDO 80512 MGVLYTP 1,LINE,To-From,1
2018,2,NELRIO,1005.0,85000 N_SHARP 903126 AJO7A 1,LINE,To-From,1
2018,6,EASTEX,99999.0,3116 MTENTRPR 3124 TRINDAD2 1,LINE,From-To,1
2018,6,EASTEX,99999.0,3116 MTENTRPR 3119 NACOGDSE 1,LINE,From-To,1
2018,6,EASTEX,99999.0,3100 MARTINLK 3105 ELKTON_5 1,LINE,From-To,1
2018,6,EASTEX,99999.0,3100 MARTINLK 3109 STRYKER_ 1,LINE,From-To,1
2018,6,EASTEX,99999.0,3100 MARTINLK 3102 TYLERGND 1,LINE,From-To,1
2018,6,EASTEX,99999.0,3100 MARTINLK 3103 SHAMBRGR 1,LINE,From-To,1
2018,6,PNHNDL,3268.0,59904 COTTONW 60500 EDITHCL 2,LINE,From-To,1
2018,6,PNHNDL,3268.0,60501 TESLA7A 61001 JIMTREE 1,LINE,From-To,1
2018,6,PNHNDL,3268.0,59904 COTTONW 60500 EDITHCL 1,LINE,From-To,1
