Year,Month,Name,DeviceName,DeviceType,FlowDirection,Factor,Seq1,Seq2,Seq3,Seq4,Seq5,Seq6
2019,1,EASTEX,3100 MARTINLK 3102 TYLERGND 1,LINE,From-To,1,99999.0,99999.0,99999.0,,,
2019,1,EASTEX,3100 MARTINLK 3103 SHAMBRGR 1,LINE,From-To,1,99999.0,99999.0,99999.0,,,
2019,1,EASTEX,3100 MARTINLK 3105 ELKTON_5 1,LINE,From-To,1,99999.0,99999.0,99999.0,,,
2019,1,EASTEX,3100 MARTINLK 3109 STRYKER_ 1,LINE,From-To,1,99999.0,99999.0,99999.0,,,
2019,1,EASTEX,3100 MARTINLK 3116 MTENTRPR 1,LINE,From-To,1,,,99999.0,,,
2019,1,EASTEX,3116 MTENTRPR 3119 NACOGDSE 1,LINE,From-To,1,99999.0,99999.0,,,,
2019,1,EASTEX,3116 MTENTRPR 3124 TRINDAD2 1,LINE,From-To,1,99999.0,99999.0,,,,
2019,1,LAREDO,5901 MIGUEL5 80219 LOBO7A 1,LINE,From-To,1,,,,1255.0,,
2019,1,LAREDO,80219 LOBO7A 80220 CENIZO7 1,LINE,To-From,1,,,,1255.0,,
2019,1,LAREDO,80221 LOBO4A 80439 LAQUINT 1,LINE,To-From,1,,,,1255.0,,
2019,1,LAREDO,80230 MOLINA4 80646 JAVATP4 1,LINE,To-From,1,,,,1255.0,,
2019,1,LAREDO,80481 PILONCI 88909 NLARSW4 1,LINE,From-To,1,,,,1255.0,,
2019,1,LAREDO,8108 HOLCOMB4 8909 NLARSW4A 1,LINE,From-To,1,,,,1255.0,,
2019,1,LAREDO,8505 FREER2A 80222 LOBO2A 1,LINE,From-To,1,,,,1255.0,,
2019,1,MCCAMY,11028 ODESEHV 76000 L_NORTM 1,LINE,To-From,1,99999.0,99999.0,,,,
2019,1,MCCAMY,38310 TN16TH_ 38330 TNWDWRD 1,LINE,To-From,1,99999.0,99999.0,,,,
2019,1,MCCAMY,38420 TNWHITE 69 38430 TNWHITE 138 1,XFMR,To-From,1,99999.0,99999.0,,,,
2019,1,MCCAMY,60014 SPUD4A 76615 L_LCRAN 1,LINE,From-To,1,99999.0,99999.0,,,,
2019,1,MCCAMY,60361 SANTARI 76032 L_NORTM 1,LINE,To-From,1,99999.0,99999.0,,,,
2019,1,MCCAMY,6556 YATW_SW2 60370 ALLEYOO 1,LINE,From-To,1,99999.0,,,,,
2019,1,MCCAMY,6556 YATW_SW2 69 76013 L_WESTY 138 1,XFMR,To-From,1,,99999.0,,,,
2019,1,MCCAMY,6598 RIOPECOS 69 6601 RIOPECOS 138 1,XFMR,To-From,1,99999.0,99999.0,,,,
2019,1,MCCAMY,6598 RIOPECOS 69 6601 RIOPECOS 138 2,XFMR,To-From,1,99999.0,99999.0,,,,
2019,1,MCCAMY,6601 RIOPECOS 76615 L_LCRAN 1,LINE,From-To,1,99999.0,99999.0,,,,
2019,1,MCCAMY,6628 FTST2A 69 6630 FTST4A 138 1,XFMR,To-From,1,99999.0,99999.0,,,,
2019,1,MCCAMY,6630 FTST4A 132482 RIGGIN 1,LINE,From-To,1,99999.0,99999.0,,,,
2019,1,MCCAMY,6630 FTST4A 38340 TNAIRPO 1,LINE,From-To,1,99999.0,99999.0,,,,
2019,1,MCCAMY,6630 FTST4A 60383 LINTERN 1,LINE,From-To,1,99999.0,99999.0,,,,
2019,1,MCCAMY,76003 L_BIGHI 76005 L_SCHND 1,LINE,To-From,1,99999.0,99999.0,,,,
2019,1,MCCAMY,76040 L_CASTI 76615 L_LCRAN 1,LINE,From-To,1,99999.0,99999.0,,,,
2019,1,MCCAMY,76579 L_FORTL 76582 L_MEVIS 1,LINE,To-From,1,99999.0,99999.0,,,,
2019,1,MCCAMY,76615 L_LCRAN 76635 L_KINGM 1,LINE,To-From,1,99999.0,99999.0,,,,
2019,1,NELRIO,80076 AJO7A 85000 N_SHARP 1,LINE,From-To,1,99999.0,99999.0,,,,
2019,1,NELRIO,8902 RIOHONDO 80512 MGVLYTP 1,LINE,To-From,1,99999.0,99999.0,,,,
2019,1,NELRIO_1,80512 MGVLYTP 907148 RIOHON 1,LINE,From-To,1,,,99999.0,,,
2019,1,NELRIO_1,85000 N_SHARP 902494 AJO7A 1,LINE,To-From,1,,,99999.0,,,
2019,1,NE_LOB,5901 MIGUEL5 80219 LOBO7A 1,LINE,To-From,1,99999.0,99999.0,99999.0,,,
2019,1,NE_LOB,80219 LOBO7A 345 80221 LOBO4A 138 1,XFMR,From-To,1,99999.0,99999.0,99999.0,,,
2019,1,NE_LOB,80219 LOBO7A 345 80221 LOBO4A 138 2,XFMR,From-To,1,99999.0,99999.0,99999.0,,,
2019,1,NE_LOB,8383 NEDIN7A 8574 POMELO7A 1,LINE,To-From,1,99999.0,99999.0,99999.0,,,
2019,1,N_TO_H,40600 ROANS__ 45972 KUYDAL7 75,LINE,From-To,1,4278.0,4819.0,4358.0,4483.0,,
2019,1,N_TO_H,44645 SNGLTN_ 44900 ZENITH_ 98,LINE,From-To,1,4278.0,4819.0,4358.0,4483.0,,
