Operations_Name,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
6345_B,Line,From - To,191.5,191.5,Hard Constraint,SWLFMON8,FEB_2019,Off-peak,6751.7
6345_B,Line,From - To,199.2,199.2,Hard Constraint,SWLFMON8,FEB_2019,PeakWD,22683.17
6345_B,Line,From - To,189.7,189.7,Hard Constraint,SWLFMON8,FEB_2019,PeakWE,1676.42
6438,Line,To - From,-369.0,369.0,Hard Constraint,DMTSCOS5,FEB_2019,Off-peak,68.19
6438,Line,To - From,-369.0,369.0,Hard Constraint,DMTSCOS5,FEB_2019,PeakWD,126.96
6438,Line,To - From,-369.0,369.0,Hard Constraint,DMTSCOS5,FEB_2019,PeakWE,24.81
DOW69,Line,From - To,108.0,108.0,Hard Constraint,DVL_CPR8,FEB_2019,Off-peak,2.24
DOW69,Line,From - To,108.0,108.0,Hard Constraint,DDYNDYN8,FEB_2019,PeakWD,3.2
DOW69,Line,To - From,-108.0,108.0,Hard Constraint,DZENADK8,FEB_2019,PeakWE,3.59
DOW76A-1,Line,To - From,-430.2,430.2,Hard Constraint,DZENADK8,FEB_2019,PeakWD,6.4
DOW44,Line,To - From,-144.0,144.0,Hard Constraint,DZENADK8,FEB_2019,Off-peak,4.02
DOW44,Line,From - To,144.0,144.0,Hard Constraint,DDYNDYN8,FEB_2019,PeakWD,0.09
LN_86,Line,To - From,-150.3,150.3,Hard Constraint,,FEB_2019,PeakWD,43.22
LN_86,Line,To - From,-150.3,150.3,Hard Constraint,,FEB_2019,PeakWE,3.31
TIELINE2,Line,To - From,-126.2,126.2,Hard Constraint,XFO2R89,FEB_2019,Off-peak,17.92
TIELINE2,Line,From - To,126.2,126.2,Hard Constraint,XFO2R89,FEB_2019,Off-peak,2.24
TIELINE2,Line,To - From,-127.0,127.0,Hard Constraint,XFO2R89,FEB_2019,PeakWD,57.6
TIELINE2,Line,From - To,127.0,127.0,Hard Constraint,XFO2R89,FEB_2019,PeakWD,3.2
TIELINE2,Line,To - From,-126.3,126.3,Hard Constraint,XFO2R89,FEB_2019,PeakWE,32.0
CAL_PL_5,Line,To - From,-205.5,205.5,Hard Constraint,SCALPL8,FEB_2019,Off-peak,2.24
CAL_PL_5,Line,To - From,-205.5,205.5,Hard Constraint,SCALPL8,FEB_2019,PeakWD,9.6
CAL_PL_5,Line,To - From,-205.5,205.5,Hard Constraint,SCALPL8,FEB_2019,PeakWE,1.28
6101_A,Line,To - From,-183.5,183.5,Hard Constraint,SWLFECT8,FEB_2019,Off-peak,1362.27
6101_A,Line,To - From,-191.8,191.8,Hard Constraint,SWLFECT8,FEB_2019,PeakWD,1297.61
